Charge Code,Charge Description,Department Code,Department,Effective,Rev Code,Price,CPT/HCPCS
1190011,EASY CAP CO2 DETECTOR,Emergency room,4010,10/1/2012 0:00,0270,206.02,
1190013,FOOT SHOE OPEN TOE,Emergency room,4010,10/1/2012 0:00,0271,540.09,
1190016,SLINGS,Emergency room,4010,10/29/2015 0:00,0271,196.48,A4565
1190019,DERMABOND SKIN,Emergency room,4010,10/1/2012 0:00,0272,386.29,
1190022,MORGAN LENS,Emergency room,4010,10/1/2012 0:00,0272,132.7,
1190030,EAR CURRETE,Emergency room,4010,10/1/2012 0:00,0272,33.26,
1190042,EAR DRESSING KIT,Emergency room,4010,10/1/2012 0:00,0272,466.88,
1190046,TURNER PIGTAIL PNEUMOTHORAX,Emergency room,4010,10/1/2012 0:00,0272,1627.65,C1729
1190049,INJECTION TX/DX IVP EA SEQ SAME MED,Emergency room,4010,11/18/2015 0:00,0260,680.79,96376
1190050,IV HYDRATION INIT 31-90 MIN,Emergency room,4010,11/18/2015 0:00,0260,716.62,96360
1190054,IV INFUSION HYDRATION EA  ADD HR,Emergency room,4010,12/7/2015 0:00,0260,232.89,96361
1190058,IV THERAPY INIT 16-90 MIN,Emergency room,4010,12/7/2015 0:00,0260,877.87,96365
1190062,IV INFUSION TX/DX EA ADD HR,Emergency room,4010,1/6/2016 0:00,0260,250.81,96366
1190066,IV THERAPY ADDL SEQ 16-90 MIN,Emergency room,4010,11/18/2015 0:00,0260,358.3,96367
1190070,IV INFUSION TX/DX CONCURRENT,Emergency room,4010,11/18/2015 0:00,0260,716.62,96368
1190074,INJ SUBQ/IM EA,Emergency room,4010,10/1/2012 0:00,0260,214.99,96372
1190078,INJECTION TX/DX IVP SINGLE/INITIAL,Emergency room,4010,11/18/2015 0:00,0260,627.06,96374
1190080,IMMUNIZATION ADMINISTRATION 1VACCINE,Emergency room,4010,11/8/2013 0:00,0771,193.47,90471
1190081,IMMUN ADM PNEUMOCOCCAL,Emergency room,4010,10/1/2012 0:00,0771,58.46,G0009
1190082,INJECTION TX/DX IVP EA ADDL SEQ NEW MED,Emergency room,4010,11/18/2015 0:00,0260,680.79,96375
1190085,IMMUN ADMIN VACC ADDL,Emergency room,4010,10/1/2012 0:00,0771,207.3,90472
1190086,ULISTED THERAPEUTIC PROPHYLACTIC INJECT,Emergency room,4010,10/1/2012 0:00,0450,268.72,96379
1190100,BALLOON 9.CM DOUBLE POSTERIOR,Emergency room,4010,10/1/2012 0:00,0270,266.4,
1190105,BALLOON 7.5CM ANTERIOR /POSTERIOR,Emergency room,4010,10/1/2012 0:00,0270,187.2,
1190110,BALLOON ANTERIOR SMALL ANATOMY,Emergency room,4010,10/1/2012 0:00,0272,158.4,
1190115,BALLOON ANTERIOR 5.5CM,Emergency room,4010,10/1/2012 0:00,0272,172.8,
1190377,BOA KIT,Emergency room,4010,10/1/2012 0:00,0272,259.36,
1190378,BURN PACK,Emergency room,4010,10/29/2015 0:00,0271,90.94,
1190379,PLASTIC TRAY,Emergency room,4010,10/1/2012 0:00,0270,230.5,
1190380,PELVIC TRAY,Emergency room,4010,10/1/2012 0:00,0272,230.5,
1190381,NASAL BLEEDER TRAY,Emergency room,4010,10/1/2012 0:00,0272,230.5,
1190383,OB PACK,Emergency room,4010,4/24/2012 0:00,0272,0,
1190384,NASAL CLIP,Emergency room,4010,10/1/2012 0:00,0270,595.15,
1190385,GASTRIC LAV KIT,Emergency room,4010,10/1/2012 0:00,0270,278.9,
1190387,NASAL TAMP X,Emergency room,4010,10/1/2012 0:00,0272,168.7,
1190392,ED VISIT LEVEL IV,Emergency room,4010,10/1/2012 0:00,0450,1699.8,99284
1190394,ED VISIT LEVEL V,Emergency room,4010,10/1/2012 0:00,0450,2575.4,99285
1190396,IMMOBILIZER SHOULDER,Emergency room,4010,10/1/2012 0:00,0274,263.71,L3671
1190397,ED CRITICAL CARE 30-74MIN,Emergency room,4010,10/1/2012 0:00,0450,3219.27,99291
1190398,IMMOBILIZER SHOULDER UNIVERSAL,Emergency room,4010,10/1/2012 0:00,0274,263.71,L3671
1190399,IMMOBILIZER KNEE UNIV,Emergency room,4010,10/1/2012 0:00,0274,541.9,L1830
1190411,COLLAR CERVICAL S/M/L/XL,Emergency room,4010,10/1/2012 0:00,0274,177.7,L0120
1190415,DISP CAUTERY,Emergency room,4010,10/1/2012 0:00,0272,232.03,
1190506,SPLINT WRIST RIGHT,Emergency room,4010,4/17/2014 0:00,0270,251.1,
1190528,SUPPORT SACROLUMBAR SM,Emergency room,4010,2/11/2020 0:00,0271,279.16,
1190532,SUPPORT SACROLUMBAR LG,Emergency room,4010,2/11/2020 0:00,0271,279.16,
1190535,RIB BELT MALE,Emergency room,4010,2/11/2020 0:00,0271,254.71,
1190538,RIB BELT FEMALE,Emergency room,4010,2/11/2020 0:00,0271,254.71,
1190550,QUIK-COMBO PADS,Emergency room,4010,10/1/2012 0:00,0271,583.1,
1191001,MINIMAL ED PROCEDURE,Emergency room,4010,10/1/2012 0:00,0450,859.94,
1191002,LIM ED PROCEDURE,Emergency room,4010,10/1/2012 0:00,0450,1146.61,
1191003,MODERATE ED PROCEDURE,Emergency room,4010,10/1/2012 0:00,0450,1433.26,
1191004,EXTENSIVE ED PROCEDURE,Emergency room,4010,10/1/2012 0:00,0450,1612.41,
1191005,COMPREHENSIVE ED PROCEDURE,Emergency room,4010,10/1/2012 0:00,0450,1791.58,
1195201,MISC,Emergency room,4010,8/1/2011 0:00,0272,0,
1301126,CABLE IMPLANT W/ CRIMP 17x750mm,Surgery ,4420,3/19/2021 0:00,0278,2908.35,C1713
1310002,ORGAN HARVEST PER HOUR,Surgery ,4420,10/1/2012 0:00,0360,1791.58,
1310012,LACRIMAL INTUBATION SET W/SUTURE,Surgery ,4420,10/1/2012 0:00,0272,1504.04,
1310015,PLATE MANDIBULAR,Surgery ,4420,4/24/2012 0:00,0278,0,C1713
1310016,MITEK GII INSERTER,Surgery ,4420,10/1/2012 0:00,0272,933.6,
1310017,LAM FLOW,Surgery ,4420,10/1/2012 0:00,0272,315.26,
1310018,DERMABOND SKIN,Surgery ,4420,10/1/2012 0:00,0272,386.29,
1310020,DERMA CLOSE RC EXNL TIS EXPANDER KIT,Surgery ,4420,8/1/2011 0:00,0272,0,
1310022,ANCHOR MITEK,Surgery ,4420,10/1/2012 0:00,0278,2029.44,C1713
1310023,BREATHING CIRCUIT & MASK,Surgery ,4420,10/1/2012 0:00,0272,360.57,
1310025,HAND FIXATOR,Surgery ,4420,4/25/2012 0:00,0272,0,
1310026,SILICONE GEL BREAST IMPLANT,Surgery ,4420,4/25/2012 0:00,0278,0,C1789
1310027,BLOOD WARMER & BAG,Surgery ,4420,10/1/2012 0:00,0272,824.13,
1310028,MALYUGIN RING,Surgery ,4420,10/1/2012 0:00,0272,720,
1310029,BLOOD TRANSFUSION FILTER,Surgery ,4420,10/1/2012 0:00,0272,468.69,
1310030,BLOOD TRANSFUSION ADMINISTRATION,Surgery ,4420,10/29/2012 0:00,0391,1492.99,36430
1310031,FIBER CHAIN - ARTHREX,Surgery ,4420,8/1/2011 0:00,0272,0,
1310033,ENDOTRACHEAL TUBE & STYLET,Surgery ,4420,10/1/2012 0:00,0272,309.04,
1310034,KIT PERCUTANEOUS TRACH,Surgery ,4420,1/1/1960 0:00,0272,1340,
1310036,DISPOSABLE LMA,Surgery ,4420,10/1/2012 0:00,0272,54.45,
1310038,MAJOR PACK,Surgery ,4420,10/1/2012 0:00,0272,745.86,
1310039,MINOR PACK,Surgery ,4420,10/1/2012 0:00,0272,515.04,
1310042,MONIT A-LINE & TUBING,Surgery ,4420,10/1/2012 0:00,0272,875.66,
1310045,SURGICAL BRA,Surgery ,4420,4/18/2017 0:00,0271,0,
1310049,CATARACT PACK W PROVISC,Surgery ,4420,10/1/2012 0:00,0272,2732.13,
1310050,DIPRIVAN PUMP & TUBING,Surgery ,4420,10/1/2012 0:00,0272,206.02,
1310051,CYSTO PACK,Surgery ,4420,10/1/2012 0:00,0272,494.72,
1310052,CANIDRAPE 16617 (3M),Surgery ,4420,10/1/2012 0:00,0272,721.1,
1310054,ENT/LAP/ORTHO PACK & ACCES,Surgery ,4420,10/1/2012 0:00,0272,1030.15,
1310055,PROTACK (AUTOSUTURE),Surgery ,4420,11/7/2017 0:00,0272,0,
1310056,GORE-TEX SUTURE,Surgery ,4420,1/17/2018 0:00,0272,0,
1310059,SUTURE ANCHOR BIO SWIVE LOCK,Surgery ,4420,8/1/2011 0:00,0272,0,
1310060,GYRUS-RADIO FREQUENCY TURBINATE/PALATE,Surgery ,4420,4/24/2012 0:00,0272,0,
1310062,SCORPIN NEEDLE ARTHREX,Surgery ,4420,8/1/2011 0:00,0272,0,
1310064,BONE GROWTH STIMULATOR,Surgery ,4420,8/1/2011 0:00,0278,0,
1310066,PRECISION TRANSVAGINAL ANCHOR SYSTEM,Surgery ,4420,12/20/2019 0:00,0278,3048.2,C2631
1310068,CATH FOLEY 5 /30,Surgery ,4420,10/1/2012 0:00,0272,334.81,
1310070,BOVIE NEEDLE/EXT/TEF TIP,Surgery ,4420,10/1/2012 0:00,0272,360.57,
1310072,ARTHREX CANNULA,Surgery ,4420,8/1/2011 0:00,0272,0,
1310074,FLOW PAIN BUSTER,Surgery ,4420,8/1/2011 0:00,0272,0,
1310076,PEANUT/COTTONOID,Surgery ,4420,10/1/2012 0:00,0272,231.8,
1310082,ADAPTIC/VASELINE/XEROFORM,Surgery ,4420,10/1/2012 0:00,0272,56.18,
1310084,LOOP ELECTRODE,Surgery ,4420,8/1/2011 0:00,0272,0,
1310086,KERLIX ROLL/KLING (ALL),Surgery ,4420,10/1/2012 0:00,0272,61.8,
1310089,BERKELEY SUCTION & DISP SUPPLIES,Surgery ,4420,10/1/2012 0:00,0272,1287.72,
1310092,ARTHROWAND,Surgery ,4420,8/1/2011 0:00,0272,0,
1310094,PERITONEAL INTRODUCER SHEATH,Surgery ,4420,10/30/2015 0:00,0272,659.3,C1894
1310097,SPIRAL ROUTER ANSPACH 2.47mm x 30.3mm,Surgery ,4420,11/1/2018 0:00,0272,925,
1310098,PERITONEAL PORT 14.3 FR TENCKHOFF 50cm,Surgery ,4420,11/1/2019 0:00,0278,1105,C1750
1310100,ARTHROSCOPE BLADES DISP,Surgery ,4420,10/1/2012 0:00,0272,1236.19,
1310102,C WIRE,Surgery ,4420,10/1/2012 0:00,0272,174.84,
1310103,UNIVERSAL DISTAL CEMENT SPACER,Surgery ,4420,2/11/2020 0:00,0272,0,
1310105,PEG KIT,Surgery ,4420,10/1/2012 0:00,0272,2970.75,
1310106,UNIVERSAL DISTAL JOINT IMPLANT,Surgery ,4420,10/1/2012 0:00,0278,2039.71,
1310109,TOTAL KNEE IMPLANT,Surgery ,4420,4/25/2012 0:00,0278,0,C1776
1310110,OTOTOME DRILL,Surgery ,4420,10/1/2012 0:00,0272,591.06,
1310111,PATELLAR SHAVE,Surgery ,4420,10/1/2012 0:00,0272,591.06,
1310113,PORCINE DERMAL TISSUE IMPLANT,Surgery ,4420,8/1/2011 0:00,0278,0,C1763
1310114,PIN CERCLAGE POSITIONING,Surgery ,4420,11/7/2017 0:00,0278,0,
1310115,CABLE & CRIMP,Surgery ,4420,8/1/2011 0:00,0272,0,
1310116,ANTERIOR VITRECTOMY PAK/PROBE,Surgery ,4420,10/1/2012 0:00,0272,1132.28,
1310117,MUSCULO SKELETAL TRANSPLANT,Surgery ,4420,8/1/2011 0:00,0278,0,
1310118,HUMERAL ASS SMALL ELBOW IMPLANT,Surgery ,4420,4/25/2012 0:00,0278,0,C1776
1310119,ULNAR ASS SMALL ELBOW IMPLANT,Surgery ,4420,1/27/2020 0:00,0278,0,C1776
1310120,CRANIOTOMY KIT,Surgery ,4420,10/1/2012 0:00,0272,1460.3,
1310121,ARTHROCARE ENT COBLATOR WAND,Surgery ,4420,10/1/2012 0:00,0272,2388.78,
1310122,SCLERAL IMPLANTS,Surgery ,4420,8/1/2011 0:00,0278,0,
1310132,3/4 SHEET,Surgery ,4420,10/1/2012 0:00,0272,51.34,
1310135,INTEGRA SKIN GRAFT,Surgery ,4420,5/13/2021 0:00,0278,0,Q4108
1310137,SKIN PREP TRAY,Surgery ,4420,10/1/2012 0:00,0272,83.85,
1310138,STOCKING -  EMBOLISM ALL,Surgery ,4420,10/1/2012 0:00,0272,163.46,
1310145,FRONTALIS SUSPENSION KIT,Surgery ,4420,10/1/2012 0:00,0272,380.16,
1310148,MORCELLATOR HANDPIECE,Surgery ,4420,3/20/2019 0:00,0272,5126.4,C1782
1310150,PUMP SYSTEM - SINGLE ACTION,Surgery ,4420,10/1/2012 0:00,0270,819.81,
1310155,ASPIRATION NEEDLE,Surgery ,4420,10/1/2012 0:00,0272,414.9,
1310163,ACL KIT,Surgery ,4420,8/1/2011 0:00,0272,0,
1310165,TUBE-VENT,Surgery ,4420,10/1/2012 0:00,0270,207.12,
1310167,ACL GRAFT KNIFE,Surgery ,4420,8/1/2011 0:00,0272,0,
1310173,ORTHO CORD,Surgery ,4420,8/1/2011 0:00,0272,0,
1310174,ORTHOPEDIC NEEDLE,Surgery ,4420,8/1/2011 0:00,0272,0,
1310176,HUMI-UTERINE MANIPULATOR,Surgery ,4420,10/1/2012 0:00,0272,458.29,
1310178,VERRES NEEDLE,Surgery ,4420,10/1/2012 0:00,0272,346.53,
1310179,ORTHOPEDIC NAIL,Surgery ,4420,4/24/2012 0:00,0278,0,C1713
1310180,BONE PREPARE KITS,Surgery ,4420,10/1/2012 0:00,0272,1819.54,
1310183,DRILL BIT VARIABLE SIZES,Surgery ,4420,4/25/2012 0:00,0272,0,
1310185,POUCH-ARTHROSCOPY SHEET,Surgery ,4420,10/1/2012 0:00,0272,347.14,
1310187,ORTHOPEDIC GUIDEWIRE,Surgery ,4420,4/25/2012 0:00,0272,0,C1769
1310188,ORTHOPEDIC HOLE COVER,Surgery ,4420,4/25/2012 0:00,0278,0,
1310189,REAMING/GUIDE ROD,Surgery ,4420,4/25/2012 0:00,0272,0,
1310190,WRIST SUPPORT,Surgery ,4420,10/1/2012 0:00,0274,347.14,
1310192,RETROGRADE INSERT,Surgery ,4420,8/1/2011 0:00,0278,0,
1310195,ABDUCTION PILLOW,Surgery ,4420,10/1/2012 0:00,0271,255.63,
1310200,CATHETER SALEM SUMP,Surgery ,4420,10/1/2012 0:00,0272,41.32,
1310202,G TUBE 16Fr MIC-KEY LOW PROFILE,Surgery ,4420,8/1/2019 0:00,0278,740,
1310205,ESOPHAGEAL STETHOSCOPE/TEMP PROBE,Surgery ,4420,10/1/2012 0:00,0272,177.16,
1310210,PRESSURE MONITOR TUBE,Surgery ,4420,10/1/2012 0:00,0270,799.95,
1310215,SAMPLE GAS LINE,Surgery ,4420,10/1/2012 0:00,0272,321.69,
1310220,CLEAR CUT SHARP POINT & SUDE PORT,Surgery ,4420,10/1/2012 0:00,0272,339.86,
1310221,CO2 CARTRIDGE,Surgery ,4420,10/7/2014 0:00,0272,208.08,
1310222,CYSTO PROBE,Surgery ,4420,10/1/2012 0:00,0272,1180.8,
1310224,DISPOSABLE SIGMOIDOSCOPE KIT,Surgery ,4420,4/1/2016 0:00,0272,262.45,
1310226,BALLOON DILATATION CATHETER 18F x 4cm,Surgery ,4420,4/1/2016 0:00,0272,1076.4,
1310228,TURBOSONICS MICROSMOOTH MICRO TIP,Surgery ,4420,4/1/2016 0:00,0272,175.02,
1310300,IR CATHETER SOFT VU KMP 4Fx40CM,Surgery ,4420,7/1/2016 0:00,0272,206.4,C1887
1310301,IR CATHETER SOFT VU KMP 5Fx65CM,Surgery ,4420,7/1/2016 0:00,0272,206.4,C1887
1310302,PINNACLE R/O II INTRODUCER SHEATH 7FR,Surgery ,4420,7/1/2016 0:00,0272,174.6,C1894
1310303,PINNACLE 5FR INTRODUCER SHEATH,Surgery ,4420,7/1/2016 0:00,0272,147,C1894
1310304,CATHETER PIGTAIL SOFT VU,Surgery ,4420,7/1/2016 0:00,0272,126,C1887
1310305,CATHETER BILIARY DRAINAGE 10.2FRx0.038,Surgery ,4420,7/1/2016 0:00,0272,607.05,C1729
1310306,CATHETER BILIARY DRAINAGE 8.5FRx0.038,Surgery ,4420,7/1/2016 0:00,0272,607.05,C1729
1310307,CATHETER DAWSON MUELLER 10.2FRX0.038,Surgery ,4420,7/1/2016 0:00,0272,459.85,C1729
1310308,GUIDEWIRE AMPLATZ ULTRA STIFF 0.35x260CM,Surgery ,4420,7/1/2016 0:00,0272,295,C1769
1310309,CATHETER PIGTAIL 5FR x 90CM,Surgery ,4420,8/1/2016 0:00,0272,285.18,
1310310,HIGH PRESUURE FLOW CONTROL DEVICE,Surgery ,4420,8/1/2016 0:00,0270,42,
1310312,Hemodialysis Catheter Angiodynamic,Surgery ,4420,11/1/2016 0:00,0278,1575,C1750
1310313,BioFlo Single Ports Angiodynamics,Surgery ,4420,11/1/2016 0:00,0278,1825,C1788
1310314,BioFlo Dialysis Catheter 15.5F x48cm,Surgery ,4420,11/1/2016 0:00,0278,1575,C1750
1310315,"Glidewire Angled Stiff 0.035"" x150cm",Surgery ,4420,11/1/2016 0:00,0272,335.5,C1769
1310316,2.4mm x 100 cm Tear Drop Guide Wire,Surgery ,4420,10/1/2016 0:00,0272,985,C1769
1310598,TUBE BAKER INTESTINAL TWIN CUFF,Surgery ,4420,1/1/2021 0:00,0278,1375,Z7610
1310600,IMPLANT KYPHX BONE DEVICE,Surgery ,4420,10/30/2015 0:00,0278,0,
1310603,GOLD EYELID IMPLANT,Surgery ,4420,10/1/2012 0:00,0278,1658.88,L8610
1310610,MENTOR BREAST TISSUE EXPANDER,Surgery ,4420,4/25/2012 0:00,0278,0,C1789
1310633,DENTAL SCREW,Surgery ,4420,8/1/2011 0:00,0278,0,
1310637,ARROW SPECIAL 3 LUMEN KIT,Surgery ,4420,10/1/2012 0:00,0272,1075.78,
1310641,DENTAL PLATE,Surgery ,4420,10/1/2012 0:00,0278,1710.08,
1310644,BAIR HUGGER BLANKET RECOVERY RM,Surgery ,4420,10/1/2012 0:00,0272,661.39,
1310647,TUR VAPORIZING ELECTRODE,Surgery ,4420,10/1/2012 0:00,0272,1390.75,
1310648,LASER FIBER,Surgery ,4420,10/1/2012 0:00,0272,5871.92,
1310651,DELTA VALVE REGULAR LEVEL 1,Surgery ,4420,10/1/2012 0:00,0278,5060.7,
1310652,ELECTROSUR COAGULATION SUC TUBE,Surgery ,4420,10/1/2012 0:00,0272,1593.64,
1310653,BRONCHOSCOPE SWIVEL ADAPTOR,Surgery ,4420,10/1/2012 0:00,0272,494.46,
1310656,THORACOPORT 11.5MM #179303,Surgery ,4420,10/30/2015 0:00,0272,1030.15,
1310657,MULTIFINE ENDO GIA-60 408 #030306,Surgery ,4420,10/1/2012 0:00,0272,4035.14,
1310663,CANNULATED SCREW,Surgery ,4420,4/24/2012 0:00,0278,0,C1713
1310668,CERVICAL HEAD HALTER FOAM,Surgery ,4420,2/11/2020 0:00,0271,406.87,
1310671,MAMMARY SIZER,Surgery ,4420,12/20/2019 0:00,0278,322.46,C1789
1310672,MAMMARY PROSTHESIS IMPLANT,Surgery ,4420,12/20/2019 0:00,0278,0,C1789
1310673,CERVICAL ROD,Surgery ,4420,8/1/2011 0:00,0278,0,
1310675,CERVICAL TRANSCONNECTOR,Surgery ,4420,8/1/2011 0:00,0278,0,
1310677,CERVICAL DRILL,Surgery ,4420,8/6/2013 0:00,0272,0,
1310679,CERVICAL PIN,Surgery ,4420,8/1/2011 0:00,0278,0,
1310680,SPINE PEEK,Surgery ,4420,2/11/2020 0:00,0278,0,
1310681,CERVICAL SCREWS,Surgery ,4420,4/24/2012 0:00,0278,0,C1713
1310683,CERVICAL PLATE,Surgery ,4420,8/1/2011 0:00,0278,0,
1310685,CERVICAL TEMPLATE,Surgery ,4420,8/1/2011 0:00,0278,0,
1310690,SUPPORT BRA,Surgery ,4420,8/1/2011 0:00,0270,0,
1310691,DE ROYAL UNI KNEE IMMOBILIZER,Surgery ,4420,10/1/2012 0:00,0274,745.59,L1830
1310692,DEROYAL CERVICAL COLLAR,Surgery ,4420,10/1/2012 0:00,0274,184.65,
1310693,DEROYAL SHOULDER IMMOBILIZER,Surgery ,4420,10/1/2012 0:00,0272,309.04,
1310694,SLING ARM LARGE,Surgery ,4420,10/30/2015 0:00,0271,82.7,A4565
1310695,KUGEL HERNIA MESH,Surgery ,4420,8/1/2011 0:00,0272,0,
1310698,SPINE BALLOON KIT,Surgery ,4420,12/28/2011 0:00,0272,0,
1310699,SPINE PORT,Surgery ,4420,12/28/2011 0:00,0272,0,
1310700,TITANIUM MESH,Surgery ,4420,4/25/2012 0:00,0278,0,C1781
1310702,SPINAL STIMULATOR GENERATOR,Surgery ,4420,11/1/2020 0:00,0278,100000,C1767
1310704,SPINAL STIMULATOR 8 CHANNEL ADAPTER 10cm,Surgery ,4420,11/1/2020 0:00,0278,8150,C1883
1310710,TOE/HAND JOINT IMPLANT,Surgery ,4420,8/24/2017 0:00,0278,0,C1776
1310752,ANESTHESIA PED BREATHING CIRCUIT,Surgery ,4420,10/1/2012 0:00,0272,110.74,
1311003,SURETAC FIXATION DEVICE,Surgery ,4420,1/30/2020 0:00,0278,1818.79,C1713
1311009,SURETAC GUIDE WIRE,Surgery ,4420,10/1/2012 0:00,0272,181.84,C1769
1311010,CONTOUR CURVED CUTTER STAPLER,Surgery ,4420,10/1/2012 0:00,0272,2326.57,
1311012,URINE METER SET/EA,Surgery ,4420,10/1/2012 0:00,0272,539.06,
1311013,ENDO TRACHEAL TUBE INTRODUCER,Surgery ,4420,1/1/1960 0:00,0272,20,
1311014,UMBILICAL TAPE/VESSEL LOOP,Surgery ,4420,10/1/2012 0:00,0272,98.89,
1311016,BRAIN STIMULATION ACTIVA PC,Surgery ,4420,1/1/1960 0:00,0278,0,C1787
1311017,PATIENT PROGRAMMER,Surgery ,4420,1/1/1960 0:00,0272,5950,C1787
1311020,BIO GUARD CORNEA,Surgery ,4420,10/1/2012 0:00,0272,727.56,
1311022,NEPTUNE SUCTION SYSTEM,Surgery ,4420,10/1/2012 0:00,0272,658.39,
1311024,CONTOUR CURVED CUTTER RELOAD,Surgery ,4420,10/1/2012 0:00,0272,1199.13,
1311026,HEMORRHOIDS PPH STAPLE,Surgery ,4420,10/1/2012 0:00,0272,1997.61,
1311027,VENODYNE & SLEEVE & BOOTS,Surgery ,4420,10/1/2012 0:00,0272,1545.24,
1311028,BLADE BEAVER  (ALL),Surgery ,4420,10/1/2012 0:00,0272,437.84,
1311029,BLADE CRCT SHT/ULT SHP/SLIT KNIFE,Surgery ,4420,10/1/2012 0:00,0272,515.08,
1311032,VASCULAR ACCESS PORT,Surgery ,4420,10/30/2015 0:00,0278,6226.3,C1788
1311034,CORNEAL TREPHINE SYSTEM,Surgery ,4420,8/6/2013 0:00,0272,2575.4,
1311035,BIOPLASTY MAMMARY PRO 500CC,Surgery ,4420,12/19/2019 0:00,0278,5028.24,L8600
1311036,CYSTO/HYDRO/CANN/POLISHER,Surgery ,4420,10/1/2012 0:00,0272,231.8,
1311037,VASCULAR GRAFT MATERIAL SYNTHETIC IMPLAN,Surgery ,4420,12/19/2019 0:00,0278,4079.46,L8670
1311038,KNEE NAIL,Surgery ,4420,1/30/2020 0:00,0278,7308.98,C1713
1311039,ENDO CATCH,Surgery ,4420,10/1/2012 0:00,0272,1519.24,
1311040,RETINAL DETACHMENT BAND&TIRE,Surgery ,4420,10/1/2012 0:00,0272,1081.69,
1311041,BREAST ANGMENTATION STELIZER BAND,Surgery ,4420,8/1/2011 0:00,0270,0,
1311042,TROCAR NEEDLES,Surgery ,4420,10/1/2012 0:00,0272,283.27,
1311044,ROYAL SKIN STPL 12-W 054829,Surgery ,4420,10/1/2012 0:00,0272,422.92,
1311045,DISP BELLOWS H-BAND,Surgery ,4420,10/1/2012 0:00,0272,94.03,
1311046,DAVOL DERMATONE HEAD,Surgery ,4420,10/1/2012 0:00,0272,125.42,
1311047,ARTHROSCOPY KNIFE,Surgery ,4420,10/1/2012 0:00,0272,533.62,
1311048,BLADE DERMATONE BROWN,Surgery ,4420,10/1/2012 0:00,0272,514.33,
1311049,STAPLER SKIN,Surgery ,4420,10/1/2012 0:00,0272,516.67,
1311050,BOVIE CHUCK HANDLE,Surgery ,4420,10/1/2012 0:00,0272,141.37,
1311052,URETHRAL ACCESS SHEATH,Surgery ,4420,10/30/2015 0:00,0272,1854.3,C1894
1311053,DEVON NEEDLE GUARD MAGNET,Surgery ,4420,10/1/2012 0:00,0272,65.68,
1311054,SHEPPARD GROM TUBE,Surgery ,4420,10/1/2012 0:00,0272,527.43,
1311055,BOVIE EXTENSION,Surgery ,4420,10/1/2012 0:00,0272,280.95,
1311056,UROLOK ADAPTOR,Surgery ,4420,10/1/2012 0:00,0272,638.68,
1311057,NAIL LONG GAMMA RIGHT,Surgery ,4420,4/24/2012 0:00,0278,0,C1713
