chg_cod_ext_id,chg_desc,ref_eff_ts,row_sta_cd,table_int_id,ref_int_id,org_int_id,lst_mod_id,lst_mod_ts,compute_0010,org_nm,gl_account_id,gl_sub_acct,chg_type_int_id,cod_dtl_ds,active_dt,cod_dtl_ext_id,chg_amt_1,cpt_mod_id,cpt4_ext_id,gl_stat
300001728,WRIST SUPPORT K-C ARTERIAL,01/15/2016 18:41:28:52,A,600,86380,6022,powerkh0,01/15/2016 18:41:28:52,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,278.25,,,
300001827,SURGICEL 2X14,01/15/2016 18:41:28:537,A,600,86376,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,265.65,,,
300002488,CHEST DRAIN ATRIUM SGL COLLECT,01/15/2016 18:41:28:537,A,600,88361,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/2/2018 0:00,272,361.2,,,
300003064,SOL DEX 5% INJ 1000ML,01/15/2016 18:41:28:537,A,600,86211,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,J7070,
300003171,"TRAY, PERICARDIOCENTESIS",01/15/2016 18:41:28:537,A,600,86292,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,1918.35,,,
300003207,"IMMOBILIZER, SHOULDER X-LARGE",01/15/2016 18:41:28:537,A,600,86250,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,73.5,,,
300004264,"DRESS RESTORE CALCIIUM ALG 4X4""",01/15/2016 18:41:28:537,A,600,88407,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/15/2018 0:00,272,14.7,,A6197,
300005344,"DRESSING RESTORE FOAM 4X4""",01/15/2016 18:41:28:537,A,600,86344,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,21,,A6209,
300005783,DUODERM (THICK) 4X4,01/15/2016 18:41:28:537,A,600,86324,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,36.75,,,
300005792,IMMOBILIZER SHOULDER XXL,01/15/2016 18:41:28:537,A,600,86254,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,156.45,,,
300009002,CARDIOVERSION - OUTPATIENT ONLY,04/15/2013 06:45:36:587,A,600,95127,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,480,1509,,92960,
300009010,EKG - 12 LEAD,04/15/2013 06:45:36:587,A,600,95224,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,730,653,,93005,
300009080,SRG PROC CMPLX BEDSIDE W/SEDANED,04/15/2013 06:45:36:587,A,600,96333,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,761,4040,,,
300010324,FLEXI-SEAL FECAL MANAGEMENT SYS,01/15/2016 18:41:28:537,A,600,86257,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,759.15,,,
300013062,SOL D5 9% 100ML,01/15/2016 18:41:28:537,A,600,86215,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300013077,SOL LAC RINGER 1000ML,01/15/2016 18:41:28:537,A,600,86219,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,J7070,
300013082,SOL 9% INJ 1000ML,12/23/2015 09:41:51:377,A,600,94375,6022,cadench0,12/23/2015 09:41:51:377,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/21/2020 0:00,258,96.6,,,
300013086,SOL 9%NS 500ML,12/21/2015 12:41:59:643,A,600,94376,6022,msilcio,12/21/2015 12:41:59:643,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/21/2020 0:00,258,96.6,,,
300013088,SOL .45% NS 500ML,01/15/2016 18:41:28:537,A,600,94377,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/21/2020 0:00,258,96.6,,,
300013094,SOL .45% NS 1000ML,01/15/2016 18:41:28:537,A,600,94378,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/21/2020 0:00,258,96.6,,,
300013100,SOL D5% LR 1000ML,01/15/2016 18:41:28:537,A,600,86223,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300013101,SOL DEX 10% INJ 1000ML,01/15/2016 18:41:28:537,A,600,86227,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300013102,SOL DEX 5% .225% NS 1000ML,01/15/2016 18:41:28:537,A,600,86231,6022,powerkh0,01/15/2016 18:41:28:537,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300013103,SOL D5/ .45%NS INJ 1000ML,01/15/2016 18:41:28:553,A,600,86204,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300013104,SOL D5/ .45%NS INJ 500ML,01/15/2016 18:41:28:553,A,600,86200,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,,
300014482,SOL DEX 5% 500ML,01/15/2016 18:41:28:553,A,600,86208,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,258,96.6,,J7060,
300020008,DRESS RESTRE CALC ALG 12 ROPE/6,01/15/2016 18:41:28:553,A,600,89959,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/22/2018 0:00,272,8.11,,A6199,
300020009,RESTORE HYDROGEL 3 OZ,01/15/2016 18:41:28:553,A,600,86352,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,25.2,,A6248,
300020044,NEEDLE HUBER SAFETY 20GX3/4,01/15/2016 18:41:28:553,A,600,86360,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,40.95,,,
300020045,NEEDLE HUBER SAFETY 20GX1,01/15/2016 18:41:28:553,A,600,86364,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,40.95,,,
300020046,MEPILEX TRANSFER 6X8,01/15/2016 18:41:28:553,A,600,86320,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,2/18/2017 0:00,272,29.4,,,
300020047,DRESSING MEPILEX BORD 7X7 SACRM,01/15/2016 18:41:28:553,A,600,91704,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,7/12/2018 0:00,272,36.75,,,
300020048,DRESSING RESTORE CONT LAYER 4X5,01/15/2016 18:41:28:553,A,600,89961,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/22/2018 0:00,272,39.9,,A6207,
300020051,DRESS RESTRE CONTACE LAYER 2X2,01/15/2016 18:41:28:553,A,600,89962,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/22/2018 0:00,272,16.8,,A6206,
300020052,DRESSING RESTORE LITE FOAM 4X5,01/15/2016 18:41:28:553,A,600,90148,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/23/2018 0:00,272,32.55,,A6210,
300090075,COLLCT VENOUS BLOOD-VENIPUNCTURE,04/15/2013 06:45:36:587,A,600,96104,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,300,109,,36415,
300090674,IMMUNE ADMIN ORAL/NASAL-1ST VACC,02/08/2014 07:35:50:02,A,600,96105,6022,morrisv0,02/08/2014 07:35:50:02,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,56,,90473,
300090675,IMMUNE ADMIN ORAL/NASAL ADDL,02/08/2014 07:35:54:45,A,600,95199,6022,morrisv0,02/08/2014 07:35:54:45,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,56,,90474,
300090685,PULSE OX SNGL DETERMINATION,02/08/2014 07:35:57:85,A,600,95424,6022,morrisv0,02/08/2014 07:35:57:85,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,460,227,,94760,
300090686,PULSE OX MULTI DETERMINATION,02/08/2014 07:36:01:173,A,600,95198,6022,morrisv0,02/08/2014 07:36:01:173,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,460,447,,94761,
300090808,IMMUNIZATION ADMIN-1ST VACCINE,04/15/2013 06:45:36:587,A,600,95423,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,128,,90471,
300090809,IMMUNIZATION ADMIN EA ADDL,04/15/2013 06:45:36:587,A,600,95197,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,56,,90472,
300090827,CARDIOPULMONARY RESUSCITATION,01/28/2014 21:28:06:607,A,600,95990,6022,morrisv0,01/28/2014 21:28:06:607,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,480,1337,,92950,
300090959,ADMIN INFLUENZA VACCINE-MEDICARE,02/14/2014 14:40:09:25,A,600,95425,6022,silcimv0,02/14/2014 14:40:09:25,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,128,,G0008,
300090960,ADMIN PNEUMOCOCCAL VACC-MEDICARE,02/14/2014 14:40:11:37,A,600,96106,6022,silcimv0,02/14/2014 14:40:11:37,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,128,,G0009,
300090961,ADM SARSCOV2 30MCG/0.3ML 1ST,01/12/2021 10:38:53:567,A,600,97535,6022,powerkv0,01/12/2021 10:38:53:567,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,76,,0001A,
300090962,ADM SARSCOV2 30MCG/0.3ML 2ND,01/12/2021 10:38:53:567,A,600,97539,6022,powerkv0,01/12/2021 10:38:53:567,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,771,124,,0002A,
300090967,REGENERON INFUSION ADMIN,01/18/2021 09:47:31:62,A,600,97529,6022,powerkv0,01/18/2021 09:47:31:62,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,260,1512,,M0243,
300090968,BAMKANIVIMAB-xxxx INFUSION,01/18/2021 09:47:31:637,A,600,97532,6022,powerkv0,01/18/2021 09:47:31:637,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,260,1512,,M0239,
300092006,WND CARE-IP DEBRIDE/WC CONT SVC,04/15/2013 06:45:36:587,A,600,96107,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,761,213,,,
300092008,WOUND CARE-IP FU CONSLT CONT SVC,04/15/2013 06:45:36:587,A,600,96108,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,761,154,,,
300092100,HEMODIALYSIS - INPATIENT,04/15/2013 06:45:36:587,A,600,95396,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,801,1683,,90935,
300092101,PERITONEAL DIALYSIS - INPATIENT,04/15/2013 06:45:36:587,A,600,95124,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,802,576,,,
300092102,CCPD DIALYSIS - INPATIENT,04/15/2013 06:45:36:587,A,600,95215,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,804,673,,,
300092103,CRRT/CVVHD-DIALYSIS - INPATIENT,04/15/2013 06:45:36:587,A,600,95216,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,801,1951,,,
300092104,HEMODIALYSIS - OUTPATIENT,04/15/2013 06:45:36:587,A,600,95397,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,821,1683,,90935,
300092105,PERITONEAL DIALYSIS - OUTPATIENT,04/15/2013 06:45:36:587,A,600,96109,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,830,1503,,90945,
300092106,CCPD DIALYSIS - OUTPATIENT,04/15/2013 06:45:36:587,A,600,96063,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,850,1787,,90945,
300094061,COLLCT BLOOD-VENOUS ACCESS DVICE,05/20/2015 08:15:25:49,A,600,96110,6022,silcimv0,05/20/2015 08:15:25:49,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,761,261,,36591,
300094062,COLLECT BLOOD-EXIST CENTRAL LINE,04/08/2016 10:07:56:323,A,600,97362,6022,msilcio,04/08/2016 10:07:56:323,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,300,261,,36592,
300094063,ARTERIAL PUNCTURE,04/08/2016 10:07:56:323,A,600,95985,6022,msilcio,04/08/2016 10:07:56:323,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,300,272,,36600,
300094096,BLADDER CATH-URINE SPEC (MCARE),05/20/2015 08:15:25:49,A,600,95970,6022,silcimv0,05/20/2015 08:15:25:49,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/17/2021 0:00,300,436,,P9612,
300098220,MS MS 3 ISOLATION RM CHG,03/21/2016 12:40:44:617,A,600,95977,6022,msilcio,03/21/2016 12:40:44:617,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14792,Room and Bed Charges,3/17/2021 0:00,110,4272,,,
300098221,MS TELE 3 ISOLATION RM CHG,03/21/2016 12:40:44:617,A,600,95976,6022,msilcio,03/21/2016 12:40:44:617,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14792,Room and Bed Charges,3/17/2021 0:00,110,4571,,,
300098230,MS MS 3 RM CHG,04/15/2013 06:45:36:587,A,600,95455,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14792,Room and Bed Charges,3/17/2021 0:00,110,4051,,,
300098231,MS TELE 3 RM CHG,04/15/2013 06:45:36:587,A,600,97233,6022,CNV_charge_master,04/15/2013 06:45:36:587,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14792,Room and Bed Charges,3/17/2021 0:00,120,4351,,,
300098366,TELE OBSERVATION PER HR,05/22/2013 07:09:55:97,A,600,88427,6022,morrisv0,05/22/2013 07:09:55:97,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/16/2018 0:00,762,0,,G0378,
300098367,MS OBSERVATION PER HR,05/22/2013 07:10:01:157,A,600,88428,6022,morrisv0,05/22/2013 07:10:01:157,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14791,Charge,3/16/2018 0:00,762,0,,G0378,
300098408,MS SUB ACUTE RM CHG,03/20/2020 15:01:49:01,A,600,97371,6022,powerkv0,03/20/2020 15:01:49:01,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3000,,14792,Room and Bed Charges,3/17/2021 0:00,199,2363,,,
301001034,"IMMOBILIZER, SHOULDER LARGE",01/15/2016 18:41:28:553,A,600,86247,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,73.5,,,
301001035,"IMMOBILIZER, SHOULDER MEDIUM",01/15/2016 18:41:28:553,A,600,86243,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,73.5,,,
301001131,BINDER ABD PANEL 3 30-45,01/15/2016 18:41:28:553,A,600,86235,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,78.75,,,
301001132,"BINDER, ABD PANEL 4 46-62",01/15/2016 18:41:28:553,A,600,86239,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,111.3,,,
301001209,"DRESSING, DUODERM X-THIN STR 4X4",01/15/2016 18:41:28:553,A,600,86317,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,22.05,,,
301001246,CHEST TUBE REMOVAL,06/03/2016 11:38:59:26,A,600,96111,6022,msilcio,06/03/2016 11:38:59:26,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,3/17/2021 0:00,761,1598,,32552,
301001290,NEEDLE SPINAL 18G,01/15/2016 18:41:28:553,A,600,86369,6022,powerkh0,01/15/2016 18:41:28:553,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,6.3,,,
301001291,NEEDLE SPINAL 20G,01/15/2016 18:44:18:097,A,600,86373,6022,powerkh0,01/15/2016 18:44:18:097,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,6.3,,,
301001411,"TRAY,LUMBAR PUNCTR ADLT 20/3 1/2",01/15/2016 18:41:29:863,A,600,86285,6022,powerkh0,01/15/2016 18:41:29:863,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,107.1,,,
301001416,"TRAY, THORACENTESIS 2/CATHETER",01/15/2016 18:41:29:863,A,600,86289,6022,powerkh0,01/15/2016 18:41:29:863,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,214.2,,,
301001728,WRIST SUPPORT K-C ARTERIAL,01/15/2016 18:41:29:863,A,600,86381,6022,powerkh0,01/15/2016 18:41:29:863,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,278.25,,,
301001827,SURGICEL 2X14,01/15/2016 18:41:29:863,A,600,86377,6022,powerkh0,01/15/2016 18:41:29:863,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,265.65,,,
301001873,"CATHETER, THERMODILUTION 7FR",01/15/2016 18:41:29:88,A,600,86278,6022,powerkh0,01/15/2016 18:41:29:88,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,296.1,,,
301002474,"KIT,TRIPLE LUMEN 20 IN",01/15/2016 18:41:29:88,A,600,86305,6022,powerkh0,01/15/2016 18:41:29:88,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,2/18/2017 0:00,272,233.1,,,
301002488,CHEST DRAIN ATRIUM SGL COLLECT,01/15/2016 18:41:29:88,A,600,88430,6022,powerkh0,01/15/2016 18:41:29:88,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,3/16/2018 0:00,272,361.2,,,
301002683,CATH TRAY MAHURKAR CVD,01/15/2016 18:41:29:88,A,600,88431,6022,powerkh0,01/15/2016 18:41:29:88,BAKERSFIELD HEART HOSPITAL,BAKERSFIELD HEART HOSPITAL,3010,,14791,Charge,3/16/2018 0:00,278,758.1,,C1752,
