Service Description,Receivable Owner,Service ID,Service Provider,Service Type,Eff Rate Amt
Cardiac MRI for morphology & function wo contrast material(s,UHHS UHC,17220,UHC Adv Int Ctr,Tech,"3,891.00"
Cardiac MRI for morphology & function wo contrast material(s,UHHS UHC,17222,UHC Adv Int Ctr,Tech,"3,928.00"
Cardiac MRI for morphology wo contrast material; with stress,UHHS UHC,17218,UHC Adv Int Ctr,Tech,"5,612.00"
Cardiac MRI for velocity mapping,UHHS UHC,29035,UHC Adv Int Ctr,Tech,"1,710.00"
Cardiac MRI Pharmacologic Stress Test,UHHS UHC,53362,UHC Adv Int Ctr,Tech,"1,681.00"
CCTA/HF Data preparation and transmission,UHHS UHC,54935,UHC Adv Int Ctr,Tech,27.00
CT abdomen and pelvis w/o contrast material,UHHS UHC,31999,UHC Adv Int Ctr,Tech,"2,860.00"
CT angiography neck with contrast,UHHS UHC,9524,UHC Adv Int Ctr,Tech,"2,626.00"
"CT Chest, diagnostic; wo contrast",UHHS UHC,9553,UHC Adv Int Ctr,Tech,"2,007.00"
CT Head wo contrast,UHHS UHC,9511,UHC Adv Int Ctr,Tech,"1,462.00"
CT heart coronary arteries,UHHS UHC,29262,UHC Adv Int Ctr,Tech,"2,963.00"
CT heart for evaluation of cardiac structure and morphology,UHHS UHC,29260,UHC Adv Int Ctr,Tech,"3,352.00"
CT heart w/contrast material cardiac function,UHHS UHC,29261,UHC Adv Int Ctr,Tech,"3,137.00"
CT heart w/o contr mat w/quant eval cornary calc (Self Pay),UHHS UHC,61734,UHC Adv Int Ctr,Tech,0.01
CT heart w/o contrast w/quant eval calc,UHHS UHC,29259,UHC Adv Int Ctr,Tech,"4,024.00"
CTA abd aorta w/wo inc post pr,UHHS UHC,9736,UHC Adv Int Ctr,Tech,"3,162.00"
CTA Abd&Pelv w/contr incl non contr imag,UHHS UHC,33862,UHC Adv Int Ctr,Tech,"3,442.00"
CTA Abdomen w wo incl post PR,UHHS UHC,9682,UHC Adv Int Ctr,Tech,"2,847.00"
CTA Chest w wo contrast,UHHS UHC,9556,UHC Adv Int Ctr,Tech,"2,842.00"
CTA Head W-Wo Incl Post Proc,UHHS UHC,9523,UHC Adv Int Ctr,Tech,"2,956.00"
LOCM < 100mg/ml per iodine/ml,UHHS UHC,30683,UHC Adv Int Ctr,Tech,3.00
LOCM 100-199 mg/ml per iodine/ml,UHHS UHC,17211,UHC Adv Int Ctr,Tech,3.00
LOCM 200-299 mg/ml iodine/ml,UHHS UHC,17212,UHC Adv Int Ctr,Tech,3.00
LOCM 300-399 mg/ml iodine/ml,UHHS UHC,17213,UHC Adv Int Ctr,Tech,3.00
LOCM 400 or > mg/ml iod conc per ml,UHHS UHC,13305,UHC Adv Int Ctr,Tech,3.00
Mod sedat different prov  from proc ea addl 15 min,UHHS UHC,42503,UHC Adv Int Ctr,Tech,88.00
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS UHC,42501,UHC Adv Int Ctr,Tech,"1,171.00"
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS UHC,42502,UHC Adv Int Ctr,Tech,791.00
Mod sedat same prov  perf proc ea addl 15 min,UHHS UHC,42500,UHC Adv Int Ctr,Tech,88.00
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS UHC,42498,UHC Adv Int Ctr,Tech,"1,171.00"
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS UHC,42499,UHC Adv Int Ctr,Tech,791.00
MRA abdomen w/o & w/contrast,UHHS UHC,9686,UHC Adv Int Ctr,Tech,"2,944.00"
MRA chest w/o and w/contrast,UHHS UHC,9562,UHC Adv Int Ctr,Tech,"1,990.00"
MRA lower extremity without contrast,UHHS UHC,9674,UHC Adv Int Ctr,Tech,"1,605.00"
MRA pelvis without contrast,UHHS UHC,9608,UHC Adv Int Ctr,Tech,"1,848.00"
MRA upper extremity w/o&w/contrast,UHHS UHC,9641,UHC Adv Int Ctr,Tech,"2,158.00"
Thoratec Heartmate Holster Vest 104229/30/31,UHHS UHC,38032,UHC Adv Int Ctr,Tech,"1,068.00"
Thoratec Heartmate modular cable 106525US,UHHS UHC,41605,UHC Adv Int Ctr,Tech,"14,850.00"
Venipunctureage 3 or > req phys skill,UHHS UHC,8371,UHC Adv Int Ctr,Tech,171.00
"Ambulatory BP, 24+ HR, Monitoring; Recording Only",UHHS UHC,9217,UHC Amb Treat Clinic,Tech,393.00
"Ambulatory BP, 24+ HR, Monitoring; Scan Analysis W/Report",UHHS UHC,9218,UHC Amb Treat Clinic,Tech,437.00
Chemo IV ea add'l hr,UHHS UHC,13264,UHC Amb Treat Clinic,Tech,585.00
Chemo IV up to 1 hr - 1st drug,UHHS UHC,13263,UHC Amb Treat Clinic,Tech,"1,040.00"
CVAD Access Flush,UHHS UHC,13814,UHC Amb Treat Clinic,Tech,197.00
CVAD blood draw,UHHS UHC,8381,UHC Amb Treat Clinic,Tech,116.00
EKG 12 lead tracing,UHHS UHC,9142,UHC Amb Treat Clinic,Tech,362.00
HemOnc IV concurrent infusion,UHHS UHC,26826,UHC Amb Treat Clinic,Tech,771.00
Hlth behav interven family w/pt face-to-face ea addl 15 mins,UHHS UHC,60968,UHC Amb Treat Clinic,Tech,137.00
Hlth behavior assessment/reassessment,UHHS UHC,60964,UHC Amb Treat Clinic,Tech,137.00
Hlth behavior interven family w/pt face-to-face init 30 mins,UHHS UHC,60967,UHC Amb Treat Clinic,Tech,137.00
Hlth behavior intervent individ face-to-face ea addl 15 mins,UHHS UHC,60966,UHC Amb Treat Clinic,Tech,137.00
Hlth behavior intervent individual face-to-face init 30 mins,UHHS UHC,60965,UHC Amb Treat Clinic,Tech,137.00
Inject IM or subcut any drug,UHHS UHC,11346,UHC Amb Treat Clinic,Tech,202.00
IV infusion for therapy prophylaxis or diagnosis (specify su,UHHS UHC,11343,UHC Amb Treat Clinic,Tech,714.00
IV push ea sequential of new drug,UHHS UHC,17683,UHC Amb Treat Clinic,Tech,806.00
IV push ea sequential of same drug,UHHS UHC,17685,UHC Amb Treat Clinic,Tech,716.00
IV push sgl/init drug,UHHS UHC,12861,UHC Amb Treat Clinic,Tech,326.00
IV therapy ea add hr up to 8,UHHS UHC,11345,UHC Amb Treat Clinic,Tech,320.00
NP Med level 1 visit,UHHS UHC,27061,UHC Amb Treat Clinic,Tech,131.00
NP Med level 2 visit,UHHS UHC,27062,UHC Amb Treat Clinic,Tech,141.00
NP Med level 3 visit,UHHS UHC,27064,UHC Amb Treat Clinic,Tech,153.00
NP Med level 4 visit,UHHS UHC,27065,UHC Amb Treat Clinic,Tech,173.00
NP Med level 5 visit,UHHS UHC,27066,UHC Amb Treat Clinic,Tech,194.00
OP Est Pt Med level 2,UHHS UHC,27068,UHC Amb Treat Clinic,Tech,141.00
OP Est Pt Med level 3,UHHS UHC,27069,UHC Amb Treat Clinic,Tech,153.00
OP Est Pt Med level 4,UHHS UHC,27070,UHC Amb Treat Clinic,Tech,173.00
OP Est Pt Med level 5,UHHS UHC,27071,UHC Amb Treat Clinic,Tech,194.00
OP Visit Est Pt Level 1,UHHS UHC,9324,UHC Amb Treat Clinic,Tech,113.00
Remov tunld cent ven cath wo subcut,UHHS UHC,15511,UHC Amb Treat Clinic,Tech,"2,252.00"
Transfusion bld products on nursing unit,UHHS UHC,8373,UHC Amb Treat Clinic,Tech,"1,104.00"
Venipuncture VENI,UHHS UHC,8372,UHC Amb Treat Clinic,Tech,27.00
Anesthesia Cosmetic Tech Per Minute,UHHS UHC,55105,UHC Anesthesia Svcs,Tech,34.00
Anesthesia OB Technical Fee,UHHS UHC,27986,UHC Anesthesia Svcs,Tech,"1,235.00"
Anesthesia Tech Base Rate,UHHS UHC,13218,UHC Anesthesia Svcs,Tech,325.00
Anesthesia Tech Per Minute,UHHS UHC,13219,UHC Anesthesia Svcs,Tech,34.00
Anesthesia Technical Fee Other,UHHS UHC,27985,UHC Anesthesia Svcs,Tech,"1,651.00"
General anesthesia < 5yrs 1st 15 minutes,UHHS UHC,42542,UHC Anesthesia Svcs,Tech,856.00
General anesthesia > 5yrs 1st 15 minutes,UHHS UHC,42543,UHC Anesthesia Svcs,Tech,583.00
General anesthesia each addl 15 minutes,UHHS UHC,42544,UHC Anesthesia Svcs,Tech,63.00
Mod sedat different prov  from proc ea addl 15 min,UHHS UHC,42503,UHC Anesthesia Svcs,Tech,88.00
Mod sedat different prov  from proc init 15 min < 5 yrs old,UHHS UHC,42501,UHC Anesthesia Svcs,Tech,"1,171.00"
Mod sedat different prov  from proc init 15 min >5 yrs old,UHHS UHC,42502,UHC Anesthesia Svcs,Tech,791.00
Mod sedat same prov  perf proc ea addl 15 min,UHHS UHC,42500,UHC Anesthesia Svcs,Tech,88.00
Mod sedat same prov perf proc init 15 min < 5 yrs old,UHHS UHC,42498,UHC Anesthesia Svcs,Tech,"1,171.00"
Mod sedat same prov perf proc init 15 min > 5 yrs old,UHHS UHC,42499,UHC Anesthesia Svcs,Tech,791.00
Moderate sedation gastrointestinal endoscopic init 15min,UHHS UHC,42521,UHC Anesthesia Svcs,Tech,791.00
Swan-Ganz Ccombo heart cath,UHHS UHC,42032,UHC Anesthesia Svcs,Tech,"1,230.00"
TAHS aScope 3,UHHS UHC,42033,UHC Anesthesia Svcs,Tech,897.00
TAHS Ascope 3 Slim Flexible Bronchoscope 402001000,UHHS UHC,40947,UHC Anesthesia Svcs,Tech,849.00
3D rendering w indi workst,UHHS UHC,13316,UHC Angiography,Tech,860.00
Abdom Paracentesis(diag/ther) w imag,UHHS UHC,33816,UHC Angiography,Tech,"1,761.00"
Abdom Paracentesis(diag/ther) wo imag,UHHS UHC,33815,UHC Angiography,Tech,"1,699.00"
Ablation thx 1 or more bone tumors cryoablation,UHHS UHC,39336,UHC Angiography,Tech,"6,219.00"
Ablation thx 1 or more bone tumors w/imag guid,UHHS UHC,24523,UHC Angiography,Tech,"4,200.00"
Abscess / drainage tube change,UHHS UHC,21,UHC Angiography,Tech,"3,008.00"
Abscess fistula sinus trct S&I,UHHS UHC,9828,UHC Angiography,Tech,885.00
Add on code permanent embolization dialysis circuit,UHHS UHC,42013,UHC Angiography,Tech,"12,400.00"
Add on code translum balloon angio additional art,UHHS UHC,42006,UHC Angiography,Tech,"3,422.00"
Add on code translum balloon angio centeral dialysis segment,UHHS UHC,42004,UHC Angiography,Tech,"2,404.00"
Angio extremity bilateral,UHHS UHC,9750,UHC Angiography,Tech,"4,915.00"
Angio extremity unilateral,UHHS UHC,9747,UHC Angiography,Tech,"4,867.00"
Angio guided inj sclerosing agnt skin/lesion,UHHS UHC,36808,UHC Angiography,Tech,"1,332.00"
Angio pulmonary nonselective,UHHS UHC,9763,UHC Angiography,Tech,"2,810.00"
Angio pulmonary unilateral,UHHS UHC,9761,UHC Angiography,Tech,"5,284.00"
Angio select each addl vessel,UHHS UHC,9765,UHC Angiography,Tech,"3,253.00"
Angio Via Exist Cath Fllwupthx,UHHS UHC,9797,UHC Angiography,Tech,"1,981.00"
Angio visceral selective,UHHS UHC,9756,UHC Angiography,Tech,"4,248.00"
Angiography Int Mammary  S&I,UHHS UHC,9764,UHC Angiography,Tech,"4,627.00"
Angiography Pelvic S&I,UHHS UHC,9759,UHC Angiography,Tech,"3,965.00"
Angiography Spinal  Selective,UHHS UHC,9746,UHC Angiography,Tech,"4,141.00"
Angiogrphy Adrenl Bilat Slcs&I,UHHS UHC,9758,UHC Angiography,Tech,"3,600.00"
Angiogrphy Adrenl Unilt Slts&I,UHHS UHC,9757,UHC Angiography,Tech,"3,004.00"
Aortogram abdominal serialogram,UHHS UHC,9732,UHC Angiography,Tech,"3,216.00"
Aortogram throacic serialorgram,UHHS UHC,9731,UHC Angiography,Tech,"4,980.00"
Aortography abdominal bilateral lower extremity,UHHS UHC,9734,UHC Angiography,Tech,"7,208.00"
Arthrocentesis aspir/inject large joint/bursa w US guide,UHHS UHC,39374,UHC Angiography,Tech,669.00
Arthrocentesis aspiration major joint/bursa without US guide,UHHS UHC,8298,UHC Angiography,Tech,629.00
Aspir bladder w/insert suprapubic cath,UHHS UHC,21226,UHC Angiography,Tech,"2,906.00"
Aspir Inj Renal Cyst Pelv Perc,UHHS UHC,608,UHC Angiography,Tech,"2,208.00"
Aspirate pleura w imaging,UHHS UHC,35829,UHC Angiography,Tech,"2,120.00"
Balloon dilat bil duct(s)/ampulla perc incl imag guid S&I,UHHS UHC,42916,UHC Angiography,Tech,654.00
Balloon dilation ureteral stricture w/imag guid radio S&I,UHHS UHC,60888,UHC Angiography,Tech,"2,780.00"
Bilry Endoscpy via t tube w dil wo stent,UHHS UHC,9470,UHC Angiography,Tech,"3,329.00"
Bilry Endoscpy Via T-Tube;W/Di,UHHS UHC,9471,UHC Angiography,Tech,"5,972.00"
Biopsy Bone Trocar/Needle Deep,UHHS UHC,878,UHC Angiography,Tech,"3,004.00"
Biopsy Of Liver  Needle Prctn,UHHS UHC,8441,UHC Angiography,Tech,"2,098.00"
"Biopsy, lung/mediastium,percutaneous, incl imaging guidance",UHHS UHC,64551,UHC Angiography,Tech,"1,693.00"
Blood collection CVAD/PIV,UHHS UHC,52471,UHC Angiography,Tech,126.00
CESSJ Therapy cath removal,UHHS UHC,35830,UHC Angiography,Tech,"5,016.00"
Change Cystostomy Tube Complicated,UHHS UHC,36765,UHC Angiography,Tech,"1,807.00"
Change Cystostomy Tube Simple,UHHS UHC,1370,UHC Angiography,Tech,667.00
Change G Tube all inclusive,UHHS UHC,34314,UHC Angiography,Tech,"1,257.00"
Change ureterostomy tube/externally accessible ureteral sten,UHHS UHC,31308,UHC Angiography,Tech,"2,382.00"
Chng Prc Tube/Drain Cth W/Cntr,UHHS UHC,9815,UHC Angiography,Tech,"1,069.00"
Contrast inj abscess/cyst via  tube,UHHS UHC,20,UHC Angiography,Tech,504.00
Conversion of G to G-J tube at time other than initial G tub,UHHS UHC,30601,UHC Angiography,Tech,"1,814.00"
Convert external biliary drain cath to internal-external inc,UHHS UHC,40479,UHC Angiography,Tech,"1,692.00"
Convert nephrostomy cath-nephroureteral cath perc,UHHS UHC,40470,UHC Angiography,Tech,"1,342.00"
CVAD blood draw,UHHS UHC,8381,UHC Angiography,Tech,116.00
Declot by thromobolytic agent of VAD or catheter guidance in,UHHS UHC,32549,UHC Angiography,Tech,724.00
Destruction lumbar/sacrum single level,UHHS UHC,28420,UHC Angiography,Tech,"4,564.00"
Dilation Nephrostomy Ureters,UHHS UHC,9727,UHC Angiography,Tech,"2,030.00"
Diskography cervical or thoracic,UHHS UHC,12989,UHC Angiography,Tech,"3,366.00"
Diskography Lumbar S&I,UHHS UHC,9615,UHC Angiography,Tech,"3,449.00"
Doxycycline sclerotherapy rt low extrem morel lavalle lesion,UHHS UHC,63765,UHC Angiography,Tech,"4,880.00"
Drainage of hematoma/fluid,UHHS UHC,24469,UHC Angiography,Tech,"2,619.00"
Endolum bx uret and/or renal pelvis non-endo incl imag guid,UHHS UHC,40471,UHC Angiography,Tech,"1,578.00"
Endovas decend aorta wo lt subclavian S&I,UHHS UHC,21195,UHC Angiography,Tech,"2,300.00"
Endovas repair thoracic aorta w/lt subclavian S&I,UHHS UHC,21194,UHC Angiography,Tech,"2,613.00"
Endovasc intracranial admin incl cath place/angio init vasc,UHHS UHC,40459,UHC Angiography,Tech,"2,373.00"
Endovasc intracranial admin not thrombolysis arterial includ,UHHS UHC,40460,UHC Angiography,Tech,436.00
"Endovasc repair infrarenal Aorta/UNI-iliac inc exten/ S&I, N",UHHS UHC,53713,UHC Angiography,Tech,"3,794.00"
Endovasc revasc open/perc fem popliteal artery(s) unilat w/a,UHHS UHC,32014,UHC Angiography,Tech,"32,557.00"
Endovasc revasc open/perc fem popliteal artery(s) unilat w/t,UHHS UHC,32013,UHC Angiography,Tech,"15,548.00"
Endovasc revasculariztion open/perc fem popliteal artery(s),UHHS UHC,32015,UHC Angiography,Tech,"25,291.00"
Endovasc revasculariztion open/perc fem popliteal artery(s),UHHS UHC,32016,UHC Angiography,Tech,"51,187.00"
Endovascluar revasc open/perc tib peroneal artery unilat eac,UHHS UHC,32023,UHC Angiography,Tech,"15,351.00"
Endovascluar revasc open/perc tib peroneal artery unilat eac,UHHS UHC,32024,UHC Angiography,Tech,"15,351.00"
Endovascluar revasc open/perc tib peroneal artery unilat ini,UHHS UHC,32018,UHC Angiography,Tech,"32,251.00"
Endovascluar revasc open/perc tib peroneal artery unilat ini,UHHS UHC,32019,UHC Angiography,Tech,"34,096.00"
Endovascluar revasc open/perc tib peroneal artery unilat ini,UHHS UHC,32020,UHC Angiography,Tech,"56,434.00"
Endovascluar revasc open/perc tib/peroneal artery unilat eac,UHHS UHC,32021,UHC Angiography,Tech,"15,351.00"
Endovascluar revasc open/perc tib/peroneal artery unilat eac,UHHS UHC,32022,UHC Angiography,Tech,"32,583.00"
Endoven ablatn incom vein ext by transcath w/chemical adhes,UHHS UHC,53668,UHC Angiography,Tech,"4,206.00"
Endovenous ablation therapy laser addl veins separate site s,UHHS UHC,30125,UHC Angiography,Tech,"7,625.00"
Endovenous ablation therapy laser first vein treated,UHHS UHC,30124,UHC Angiography,Tech,"8,236.00"
Endovenous ablation therapy radio addl vein separate site,UHHS UHC,30123,UHC Angiography,Tech,"5,254.00"
Endovenous ablation therapy radiofrequency first vein treate,UHHS UHC,30122,UHC Angiography,Tech,"7,737.00"
Epidural blood patch,UHHS UHC,13180,UHC Angiography,Tech,"1,923.00"
Etranscath Plcmt-Ea Addl Stent,UHHS UHC,2924,UHC Angiography,Tech,"6,738.00"
Exchange biliary drain cath perc include cholangography,UHHS UHC,1384,UHC Angiography,Tech,"1,452.00"
Exchange perc biliary drainage catheter,UHHS UHC,1385,UHC Angiography,Tech,"1,904.00"
Ext Cannula Declot W/Balloon Cath,UHHS UHC,2950,UHC Angiography,Tech,"2,946.00"
Ext Cannula Declot Wo/Balloon Cath,UHHS UHC,2951,UHC Angiography,Tech,"4,618.00"
Fluoro guide for CVP,UHHS UHC,9818,UHC Angiography,Tech,"1,053.00"
Fluoroscopic Guidance For Needle Placement,UHHS UHC,8515,UHC Angiography,Tech,710.00
Fluoroscopic guide thx inj procedure,UHHS UHC,9821,UHC Angiography,Tech,"1,000.00"
Fluoroscopy up to 1 hr,UHHS UHC,3193,UHC Angiography,Tech,746.00
FNA bx including US guid 1st lesion,UHHS UHC,57077,UHC Angiography,Tech,"1,508.00"
Hepatic venogram wedged free,UHHS UHC,9787,UHC Angiography,Tech,"3,580.00"
Hepatic Venogrm Wedgd/Free W/O,UHHS UHC,9789,UHC Angiography,Tech,"3,378.00"
Iliac artery balloon each additional ipsilateral iliac vesse,UHHS UHC,32011,UHC Angiography,Tech,"16,451.00"
Iliac artery stent each addl ipsilateral iliac ves incl ball,UHHS UHC,32012,UHC Angiography,Tech,"16,731.00"
Iliac artery stent plcmt unilat includes balloon within same,UHHS UHC,32010,UHC Angiography,Tech,"11,444.00"
Image guide drain fluid collection by cath peritoneal or ret,UHHS UHC,37961,UHC Angiography,Tech,"3,700.00"
Image guide drain fluid collection by cath viseral perc,UHHS UHC,37960,UHC Angiography,Tech,"3,848.00"
Initial perc insertion of D or J tube under fluoro,UHHS UHC,30600,UHC Angiography,Tech,"1,891.00"
Initial perc placement of G tube under fluoro,UHHS UHC,30602,UHC Angiography,Tech,"2,214.00"
Inj anes t/e cerv/thor ea addl level,UHHS UHC,25742,UHC Angiography,Tech,"1,754.00"
Inj anes t/e cervical/thoracc sngl level,UHHS UHC,25741,UHC Angiography,Tech,"2,502.00"
Inj anes t/e lumbar/sacral ea add level,UHHS UHC,25744,UHC Angiography,Tech,"1,453.00"
Inj anes t/e lumbar/sacral single level,UHHS UHC,25743,UHC Angiography,Tech,"2,224.00"
Inj contrast for rad eval of CVAD include fluoro,UHHS UHC,26776,UHC Angiography,Tech,"1,948.00"
Inj proc antegrad nephro/uretero w/image guide new access,UHHS UHC,40455,UHC Angiography,Tech,726.00
Inj proc antegrad nephro/uretero/imag guide existing access,UHHS UHC,3967,UHC Angiography,Tech,511.00
Inj Proc Cholangiogram Via Exist Cath,UHHS UHC,3970,UHC Angiography,Tech,623.00
Inj Proc Disk Ea Level Lumbar,UHHS UHC,9483,UHC Angiography,Tech,"3,832.00"
Inj proc dscgrm ea level cerv/th,UHHS UHC,18108,UHC Angiography,Tech,"3,356.00"
Inj proc for cholangiogram perc w/image guide,UHHS UHC,3969,UHC Angiography,Tech,"1,887.00"
Inj proc mylography and/or CT lumbar,UHHS UHC,9481,UHC Angiography,Tech,"2,007.00"
Inj proc shoulder arthrogram,UHHS UHC,9439,UHC Angiography,Tech,640.00
Inj proc visual ileal conduit/ureteropyelography,UHHS UHC,31309,UHC Angiography,Tech,"1,087.00"
Inj procedure for extremity venography,UHHS UHC,8350,UHC Angiography,Tech,"1,428.00"
Inj procedure lymphangiography,UHHS UHC,18111,UHC Angiography,Tech,720.00
Inj Sinus Tract Diagnostic,UHHS UHC,3975,UHC Angiography,Tech,446.00
Inj Sinus Tract-Diagnostic,UHHS UHC,3974,UHC Angiography,Tech,"1,291.00"
"Inject contract G,D,G-J tube guidance included",UHHS UHC,32548,UHC Angiography,Tech,792.00
Inject sclero multiple incompet veins,UHHS UHC,30121,UHC Angiography,Tech,257.00
Inject sclerosant for spider veins limb/trunk,UHHS UHC,29077,UHC Angiography,Tech,456.00
Inject sclerosing solution single vein,UHHS UHC,30120,UHC Angiography,Tech,580.00
Injection procedure for evaluation of Peritoneal Shunt,UHHS UHC,39556,UHC Angiography,Tech,885.00
Injection procedures for percutaneous treatment of extremity,UHHS UHC,19236,UHC Angiography,Tech,"1,177.00"
Ins Cath Central Venous Non-Tunnel >=5,UHHS UHC,15686,UHC Angiography,Tech,"2,236.00"
Ins needle/cath dialysis circuit  diag angio & translum ball,UHHS UHC,42008,UHC Angiography,Tech,"1,364.00"
Ins needle/cath dialysis circuit & diagnostic angio w/stent,UHHS UHC,42009,UHC Angiography,Tech,"15,576.00"
Ins needle/cath dialysis circuit w/diagnostic angio,UHHS UHC,42002,UHC Angiography,Tech,"9,984.00"
Ins perip CVC (PICC) wo subcut port/pump incl all imag <5yrs,UHHS UHC,57136,UHC Angiography,Tech,748.00
Ins periph CVC(PICC) wo subcu port/pump includes all imaging,UHHS UHC,57137,UHC Angiography,Tech,942.00
Ins tun cen ven cath w/o port/pump =>5yrs,UHHS UHC,21217,UHC Angiography,Tech,"3,848.00"
