Wayne HealthCare,,,,
835 Sweitzer Street,,,,
"Greenville, OH 45331",,,,
,,,,
Effective 01/01/2022,,,,
,,,,
2022 STANDARD CHARGES,,,,
,,,,
"CHARGE
NUMBER",DESCRIPTION,"CPT/HCPC/
DRG CODE",2022,DEPARTMENT
4600115,BB PH PLT P-T UNIT GIVEN,P9035,"$1,653.00 ",BLOOD BANK
4600102,BB PH PLT UNIT GIVEN,P9035,"$1,653.00 ",BLOOD BANK
4600207,BB RH TYPE,86901,$123.00 ,BLOOD BANK
4601049,BB RHOGAM DAT,86880,$94.00 ,BLOOD BANK
4600502,BB RHOGAM ONE UNIT GIVEN,90384,$273.00 ,BLOOD BANK
4601031,BB RHOGAM RH,86901,$77.00 ,BLOOD BANK
4601106,BB THERAPEUTIC PHLEBOTOMY,99195,$402.00 ,BLOOD BANK
4601202,BB TRANS RX UA DIPSTICK,81003,$9.00 ,BLOOD BANK
4600645,BB X-MATCH LEUKO REDUCED RBC,86920,$517.00 ,BLOOD BANK
4601200,EXPLD ABO TYPE,86900,$298.00 ,BLOOD BANK
4601198,EXPLD DIRECT COOMBS,86880,$121.00 ,BLOOD BANK
4601199,EXPLD RH TYPE,86901,$121.00 ,BLOOD BANK
4601056,ZZ BB RHOGAM AB SCREEN,86850,$122.00 ,BLOOD BANK
7093799,CARDIAC REHAB Unlisted,93797,$185.00 ,CARDIAC REHAB
7093797,CARDIAC REHAB W/O CONT MONITORING,93797,$185.00 ,CARDIAC REHAB
7093798,CARDIAC REHAB WITH CONT EKG MONITORING,93798,$235.00 ,CARDIAC REHAB
7083759,KX CARDIAC REHAB EDUCATION,93797,$185.00 ,CARDIAC REHAB
7083797,KX CARDIAC REHAB W/O CONT MONITORING,93797,$185.00 ,CARDIAC REHAB
7083798,KX CARDIAC REHAB WITH CONT EKG MONITORG,93798,$235.00 ,CARDIAC REHAB
2700038,ABG SYRINGE & NEEDLE,,$9.00 ,CARDIO PULMONARY
2700020,ABG SYRINGE & NEEDLE PED,,$12.00 ,CARDIO PULMONARY
2700196,ACAPELLA INITIAL,94667,$173.00 ,CARDIO PULMONARY
2700204,ACAPELLA/SUBSEQUENT,94668,$173.00 ,CARDIO PULMONARY
2702430,AEROBIKA VIBRATORY PEP DEVICE ACAPELLA,,$141.00 ,CARDIO PULMONARY
2701515,AEROCHAMBER W/INFANT MASK,,$70.00 ,CARDIO PULMONARY
2702463,AEROCHAMBER W/MASK PED,,$42.00 ,CARDIO PULMONARY
2700087,AEROSOL T ADAPTOR,,$6.00 ,CARDIO PULMONARY
2702513,AIRWAY BECH AIRFLOW MONITOR,,$50.00 ,CARDIO PULMONARY
2770018,ARTERIAL BLOOD GAS,82803,$108.00 ,CARDIO PULMONARY
2700013,ARTERIAL BLOOD GASES W COOX,82803,$108.00 ,CARDIO PULMONARY
2700146,ARTERIAL PUNCTURE,36600,$173.00 ,CARDIO PULMONARY
2700913,ASSESS PEAK FLOW METERS,,$28.00 ,CARDIO PULMONARY
2700681,BACTERIA FILTER,,$57.00 ,CARDIO PULMONARY
2700633,BALLARD TRACH SYSTEM,,$172.00 ,CARDIO PULMONARY
2702034,BIPAP MASK LARGE FULL FACE W/STRAP,A7027,$79.00 ,CARDIO PULMONARY
2702026,BIPAP MASK MEDIUM IFULL FACE W/STRAPS,A7027,$79.00 ,CARDIO PULMONARY
2702036,BIPAP MASK XLARGE FULL FACE W/STRAP,A7027,$79.00 ,CARDIO PULMONARY
2700117,BIPAP/CPAP INITIATION AND MANAGEMENT,94660,$290.00 ,CARDIO PULMONARY
2700116,BIPAP/CPAP TREATMENT,94660,$290.00 ,CARDIO PULMONARY
2701648,BLADE LARYNGOSCOPE MILLER 0 DISP,,$19.00 ,CARDIO PULMONARY
2701663,BLADE LARYNGOSCOPE MILLER 00 DISP,,$19.00 ,CARDIO PULMONARY
2701671,BLADE LARYNGOSCOPE MILLER 1 DISP,,$19.00 ,CARDIO PULMONARY
2700111,BLOOD GAS KIT PED,,$6.00 ,CARDIO PULMONARY
2700137,BRONCHOSCOPY AIRWAY CON,,$45.00 ,CARDIO PULMONARY
2782804,CAPILLARY GAS,82803,$108.00 ,CARDIO PULMONARY
2700070,CARBON MONOXIDE LEVEL,82375,$52.00 ,CARDIO PULMONARY
2700139,CHEST PHYSI INITIAL,94667,$173.00 ,CARDIO PULMONARY
2700188,CHEST PHYSI SUB TRTMNT,94668,$173.00 ,CARDIO PULMONARY
2702091,CHIN STRAPS,,$129.00 ,CARDIO PULMONARY
7102435,CLINCIAL EXERCISE PROGRAM 10 S EMPLOYEE,S9451,$32.00 ,CARDIO PULMONARY
7102433,CLINICAL EXERCISE INITIAL 10,S9451,$95.00 ,CARDIO PULMONARY
7102432,CLINICAL EXERCISE INITIAL 20,S9451,$150.00 ,CARDIO PULMONARY
2702505,CO2 INDICATOR 30MM FENEM,,$85.00 ,CARDIO PULMONARY
2770014,CORD BLOOD ARTERIAL GAS,82803,$108.00 ,CARDIO PULMONARY
2770015,CORD BLOOD VENOUS GAS,82803,$108.00 ,CARDIO PULMONARY
2700970,DECANNULATION PLUG DISPOSABLE,,$124.00 ,CARDIO PULMONARY
2700096,DLCO,94729TC,$126.00 ,CARDIO PULMONARY
2705426,EAR CUSHION-NASAL CANNULA,,$7.00 ,CARDIO PULMONARY
2702521,EID BULB MODEL LF,,$25.00 ,CARDIO PULMONARY
4001836,ENDOTUBE 2.0MM UNCUFFED,,$13.00 ,CARDIO PULMONARY
2700699,ET TAPE  100/CS,,$15.00 ,CARDIO PULMONARY
2702431,EZ PAP INITIAL & DEMONSTRATION,94640,$284.00 ,CARDIO PULMONARY
2702432,EZ PAP SUBSEQUENT,9464076,$284.00 ,CARDIO PULMONARY
2701093,FACE MASK ADULT,,$30.00 ,CARDIO PULMONARY
2701069,FACE MASK CHILD,,$30.00 ,CARDIO PULMONARY
2701077,FACE MASK INFANT #2,,$28.00 ,CARDIO PULMONARY
2701101,FACE MASK NEWBORN,,$28.00 ,CARDIO PULMONARY
2702174,FILTERLINE ICU,,$73.00 ,CARDIO PULMONARY
2702141,FILTERLINE OR/EMS,,$41.00 ,CARDIO PULMONARY
2701655,"HANDLE, PENLIGHT LED, DISP.",,$24.00 ,CARDIO PULMONARY
2702059,HEAD STRAPS MED,,$216.00 ,CARDIO PULMONARY
2700049,HEATED/COOL AEROSOL PER HOUR,,$27.00 ,CARDIO PULMONARY
2700977,HEATED/COOL AEROSOL SUB OF THE DAY,9464076,$284.00 ,CARDIO PULMONARY
2704112,HTD/COOL AEROSOL SUB,9464076,$284.00 ,CARDIO PULMONARY
2700055,HTD/COOL AEROSOL/1ST OF THE DAY,94640,$284.00 ,CARDIO PULMONARY
2700089,INDUCED SPUTUM INITIAL RX,94640,$284.00 ,CARDIO PULMONARY
2700017,INTUBATION,31500,$962.00 ,CARDIO PULMONARY
2700533,INTUBATION TRAY,,$59.00 ,CARDIO PULMONARY
2700097,IPPB INITIAL RX,94640,$284.00 ,CARDIO PULMONARY
2701952,MASK B PAP MED,K0553,$98.00 ,CARDIO PULMONARY
2701960,MASK B PAP MED SM,,$89.00 ,CARDIO PULMONARY
2701978,MASK B PAP MED-WD,,$89.00 ,CARDIO PULMONARY
2702000,MASK FULL FACE PET,,$172.00 ,CARDIO PULMONARY
2702018,MASK FULL FACE SM,,$180.00 ,CARDIO PULMONARY
2701895,MASK NASAL CPAP LG 133340-00,,$265.00 ,CARDIO PULMONARY
2701887,MASK NASAL CPAP MD W 133339-00,,$265.00 ,CARDIO PULMONARY
2701879,MASK NASAL CPAP MED 133338-00,,$265.00 ,CARDIO PULMONARY
2701853,MASK NASAL CPAP SM 133336-00,,$265.00 ,CARDIO PULMONARY
2701861,MASK NASAL CPAP SM W 133337-00,,$265.00 ,CARDIO PULMONARY
2701911,MASK NONREBREATHER PED,,$18.00 ,CARDIO PULMONARY
2700220,MDI 1ST/INIT,94640,$284.00 ,CARDIO PULMONARY
2700972,MDI 2,9464076,$284.00 ,CARDIO PULMONARY
2700979,MDI INITIAL,94640,$284.00 ,CARDIO PULMONARY
2700212,MDI INSTRUCT WITH SPACER,94664,$290.00 ,CARDIO PULMONARY
2700225,MDI PRN,9464076,$284.00 ,CARDIO PULMONARY
2700974,MDI SUB,9464076,$284.00 ,CARDIO PULMONARY
2700162,MED NEB 1ST/INIT,94640,$284.00 ,CARDIO PULMONARY
2700170,MED NEB CONTINUOUS,94644,$173.00 ,CARDIO PULMONARY
2702533,MED NEB PRN,9464076,$284.00 ,CARDIO PULMONARY
2702534,MED NEB SPECIAL,9464076,$284.00 ,CARDIO PULMONARY
2700975,MED NEB SUBS,94640,$284.00 ,CARDIO PULMONARY
2700072,METHEMOGLOBIN,83050,$76.00 ,CARDIO PULMONARY
2702158,MICROSTREAM AIRWAY ADAPT,,$27.00 ,CARDIO PULMONARY
2702166,MICROSTREAM ASSORT PACK,,$51.00 ,CARDIO PULMONARY
2700171,MULTIPLE SLEEP LATENCY TEST,95805,"$2,525.00 ",CARDIO PULMONARY
2702133,NASAL FILTERLINE ADULT,,$80.00 ,CARDIO PULMONARY
2701986,NASAL MASK W/HEADSTRAP MED/LG,K0553,$98.00 ,CARDIO PULMONARY
2701945,NASAL MASK W/HEADSTRAP SMALL,K0553,$98.00 ,CARDIO PULMONARY
2702125,NASAL SPLINT CANNULA,,$82.00 ,CARDIO PULMONARY
2799464,NB ATTENDANCE,99464,$205.00 ,CARDIO PULMONARY
2799465,NB RESUSCITATION,99465,"$1,268.00 ",CARDIO PULMONARY
2700112,NITROGEN WASHOUT,94727TC,$379.00 ,CARDIO PULMONARY
2700044,O2 PER HOUR,,$20.00 ,CARDIO PULMONARY
2700034,O2 SET UP,,$35.00 ,CARDIO PULMONARY
2700114,OXIMETER SATURATION CHECK,94760,$6.00 ,CARDIO PULMONARY
2700026,OXYGEN HOOD SET UP,,$35.00 ,CARDIO PULMONARY
2700036,OXYGEN SIZE E TANK,,$50.00 ,CARDIO PULMONARY
2700491,OXYGEN TRACH MASK PED,A7525,$47.00 ,CARDIO PULMONARY
2702497,PEDICAP CO2 DETECTORS,,$85.00 ,CARDIO PULMONARY
2702364,PEEP VALVE DISPOSABLE 30 MM,,$20.00 ,CARDIO PULMONARY
2700021,PFT COMPLETE,94060TC,$586.00 ,CARDIO PULMONARY
2700119,PFT COMPLETE W PLETH,94060TC,$586.00 ,CARDIO PULMONARY
2700023,PFT COMPLETE W/O BRONCHODILATOR,94010TC,$379.00 ,CARDIO PULMONARY
2700039,PFT PRE & POST,94060TC,$586.00 ,CARDIO PULMONARY
2700047,PFT SIMPLE,94010TC,$379.00 ,CARDIO PULMONARY
2700155,POLYSOMNOGRAPHY,95810,"$4,142.00 ",CARDIO PULMONARY
2700164,POLYSOMNOGRAPHY SPLIT NIGHT,95811,"$4,194.00 ",CARDIO PULMONARY
2700163,POLYSOMNOGRAPHY W/CPAP TRIAL,95811,"$4,194.00 ",CARDIO PULMONARY
2700399,PORTABLE SLEEP TEST,95806,$928.00 ,CARDIO PULMONARY
2701739,PROBE(DISP) AD OHMEDA 6000-006,,$172.00 ,CARDIO PULMONARY
2701721,PROBE(DISP) PED OHMEDA 6000-09,,$172.00 ,CARDIO PULMONARY
2700122,PULSE OX EXERCISE MULT DETERM,94761,$20.00 ,CARDIO PULMONARY
2700106,PULSE OX OVERNIGHT,94762,$379.00 ,CARDIO PULMONARY
2794760,PULSE OX SCREENING,,$51.00 ,CARDIO PULMONARY
2700921,RESUSCITATION BAG ADULT,S8999,$93.00 ,CARDIO PULMONARY
2700541,RESUSCITATION BAG NEWBORN,,$66.00 ,CARDIO PULMONARY
2702372,RESUSCITATION BAG PEDS,,$72.00 ,CARDIO PULMONARY
2700707,RESUSCITATOR ADULT MOUTH-TO-MASK 6  TUBE,,$80.00 ,CARDIO PULMONARY
2701259,RESUSCITATOR BAG DISPSBL CHILD,,$140.00 ,CARDIO PULMONARY
2702422,RESUSCITATOR PED MOUTH-TO-MASK 6  TUBE,,$33.00 ,CARDIO PULMONARY
4000590,SENSOR ADULT VINYL,,$25.00 ,CARDIO PULMONARY
4001275,SENSOR FINGER PED VINYL,,$25.00 ,CARDIO PULMONARY
4006080,SENSOR INFANT CLOTH,,$32.00 ,CARDIO PULMONARY
4007151,SENSOR NASAL-ADULT MAXR,,$59.00 ,CARDIO PULMONARY
2794620,SIX MINUTE WALK TEST,94618,$258.00 ,CARDIO PULMONARY
2700723,SPACER AEROCHAMBER,,$20.00 ,CARDIO PULMONARY
93100525,SUCTION TUBING 10' MEDLINE,,$4.00 ,CARDIO PULMONARY
2700147,SUCTIONING,31720,$290.00 ,CARDIO PULMONARY
2700400,THERMOMETER W/PROBE,,$12.00 ,CARDIO PULMONARY
2700118,THORACIC GAS VOLUME,94726TC,$598.00 ,CARDIO PULMONARY
2702414,TRACH CARE 14 FR W/O SALINE,,$40.00 ,CARDIO PULMONARY
2700517,TRACH TALK,,$56.00 ,CARDIO PULMONARY
2700368,TRACH TEE ADAPTER,,$10.00 ,CARDIO PULMONARY
2701135,TRACH TEE ADAPTER,,$9.00 ,CARDIO PULMONARY
2702208,TRACH TUBE CANNULA 8 FR,,$29.00 ,CARDIO PULMONARY
2702273,TRACH TUBE CUFFED 10 FR,,$315.00 ,CARDIO PULMONARY
2702232,TRACH TUBE CUFFED 6 FR,,$315.00 ,CARDIO PULMONARY
2702240,TRACH TUBE CUFFED 7 FR,,$315.00 ,CARDIO PULMONARY
2702257,TRACH TUBE CUFFED 8 FR,,$315.00 ,CARDIO PULMONARY
2702265,TRACH TUBE CUFFED 9 FR,,$315.00 ,CARDIO PULMONARY
2702224,TRACH TUBE INNER CANNULA 10 FR,,$26.00 ,CARDIO PULMONARY
2702182,TRACH TUBE INNER CANNULA 6 FR,,$357.00 ,CARDIO PULMONARY
2702190,TRACH TUBE INNER CANNULA 7 FR,,$26.00 ,CARDIO PULMONARY
2702216,TRACH TUBE INNER CANNULA 9 FR,,$26.00 ,CARDIO PULMONARY
2702281,TRACH TUBE PED 2.5 FR,,$315.00 ,CARDIO PULMONARY
2702299,TRACH TUBE PED 3.5 FR,,$315.00 ,CARDIO PULMONARY
2702307,TRACH TUBE PED 4 FR,,$315.00 ,CARDIO PULMONARY
2700806,TRACH TUBE SIZE 6 CUFFED SHILEY,,$268.00 ,CARDIO PULMONARY
2702356,TRACH TUBE UNCUFF FEN 10 FR,,$315.00 ,CARDIO PULMONARY
2702315,TRACH TUBE UNCUFF FEN 6 FR,,$315.00 ,CARDIO PULMONARY
2702349,TRACH TUBE UNCUFF FEN 9 FR,,$315.00 ,CARDIO PULMONARY
2705076,TRACH TUBE UNCUFFED FEN 6 FR,,$139.00 ,CARDIO PULMONARY
2702323,TRACH TUBE UNCUFFED FEN 7 FR,,$315.00 ,CARDIO PULMONARY
2702331,TRACH TUBE UNCUFFED FEN 8 FR,,$139.00 ,CARDIO PULMONARY
2700632,TRACH WET PACK 14 FR,A4605,$228.00 ,CARDIO PULMONARY
7102436,TRANSITIONAL CARE MNGMENT SUBSEQUENT,99496,$409.00 ,CARDIO PULMONARY
2794799,UNLISTED PULMONARY SERVICE,94799,$294.00 ,CARDIO PULMONARY
3001135,USE 2700376,,$9.00 ,CARDIO PULMONARY
2770031,VENOUS BLOOD GAS,82803,$108.00 ,CARDIO PULMONARY
2770153,VENOUS PH,82800,$47.00 ,CARDIO PULMONARY
2700056,VENT ASST&MANGMT SUB DS,94003,$718.00 ,CARDIO PULMONARY
2700042,VENT ASST&MANGT 1ST DAY,94002,$732.00 ,CARDIO PULMONARY
2700148,VENT INITIAL  < 12 HRS,94002,$732.00 ,CARDIO PULMONARY
2700130,VENT SUBSEQUENT < 12 HOURS,94003,$718.00 ,CARDIO PULMONARY
2700442,VENTIMASK ADULT,,$20.00 ,CARDIO PULMONARY
2701937,VENTIMASK PED,,$20.00 ,CARDIO PULMONARY
2794669,VEST THERAPY INITIAL,94669,$370.00 ,CARDIO PULMONARY
2794670,VEST THERAPY SUBSEQUENT,94669,$370.00 ,CARDIO PULMONARY
2794150,VITAL CAPACITY TOTAL,94150,$199.00 ,CARDIO PULMONARY
5300455,BIOPSY LIVER  NEEDLE PERCUTANEOUS,47000,"$4,579.00 ",CT SCANS
5300459,CT   BIOPSY ADB/RETRO MASS PERCUTANEOUS,49180,"$4,579.00 ",CT SCANS
5300456,CT  BIOPSY PLEURA PERCUTANEOUS NEEDLE,32400,"$4,579.00 ",CT SCANS
5300492,CT 3-D RECONSTRUCTION,76376,"$1,003.00 ",CT SCANS
5300526,CT ABCESS DRAINAGE WITH CATHETER PLACEME,75989,"$2,448.00 ",CT SCANS
5300695,CT ABD PELVIS,74176,"$2,988.00 ",CT SCANS
5300696,CT ABD/PELVIS W,74177,"$5,116.00 ",CT SCANS
5300697,CT ABD/PELVIS W/WO,74178,"$5,116.00 ",CT SCANS
5300013,CT ABDOMEN,74150,"$1,295.00 ",CT SCANS
5300062,CT ABDOMEN W,74160,"$2,105.00 ",CT SCANS
5300070,CT ABDOMEN WWO,74170,"$2,105.00 ",CT SCANS
5300458,CT BIOPSY MUSCLE PERCUTANEOUS NEEDLE,20206,"$4,579.00 ",CT SCANS
5300054,CT CERVICAL SP,72125,"$1,295.00 ",CT SCANS
5300088,CT CERVICAL SP W,72126,"$3,969.00 ",CT SCANS
5300096,CT CERVICAL SP WWO,72127,"$3,004.00 ",CT SCANS
5300039,CT HEAD,70450,"$1,295.00 ",CT SCANS
5370451,CT HEAD STROKE IMAGES,70450,"$1,295.00 ",CT SCANS
5300040,CT HEAD STROKE PROTOCOL,70450,"$1,295.00 ",CT SCANS
5300153,CT HEAD W,70460,"$2,442.00 ",CT SCANS
5300161,CT HEAD WWO,70470,"$2,442.00 ",CT SCANS
5300286,CT LIMITED STUDY,76380,"$1,485.00 ",CT SCANS
5300542,CT LOWER EXT LT,73700LT,"$1,502.00 ",CT SCANS
5300385,CT LOWER EXT RT,73700RT,"$1,502.00 ",CT SCANS
5300559,CT LOWER EXT W LT,73701LT,"$2,105.00 ",CT SCANS
5300393,CT LOWER EXT W RT,73701RT,"$2,105.00 ",CT SCANS
5300567,CT LOWER EXT WWO LT,73702LT,"$2,441.00 ",CT SCANS
5300401,CT LOWER EXT WWO RT,73702RT,"$2,442.00 ",CT SCANS
5300294,CT LUMBAR SPINE,72131,"$1,295.00 ",CT SCANS
5300179,CT LUMBAR SPINE W,72132,"$4,410.00 ",CT SCANS
5300187,CT LUMBAR SPINE WWO,72133,"$1,895.00 ",CT SCANS
5371271,CT LUNG SCREENING,71271,$405.00 ,CT SCANS
5371251,CT LUNG SELF PAY SCREENING,,$99.00 ,CT SCANS
5300328,CT MAX FACIAL,70486,"$1,295.00 ",CT SCANS
5300336,CT MAX FACIAL W,70487,"$2,442.00 ",CT SCANS
5300344,CT MAX FACIAL WWO,70488,"$2,442.00 ",CT SCANS
5300419,CT NEEDLE PLACEMENT,77012,"$1,516.00 ",CT SCANS
5300195,CT ORBIT/SELLA/POST,70480,"$1,502.00 ",CT SCANS
5300211,CT ORBIT/SELLA/POST W AND W/O CONTRAST,70482,"$2,442.00 ",CT SCANS
5300203,CT ORBIT/SELLA/POST W CONTRAST,70481,"$2,105.00 ",CT SCANS
5371275,CT PE PROTOCOL,71260,"$2,105.00 ",CT SCANS
5300047,CT PELVIS,72192,"$1,295.00 ",CT SCANS
5300229,CT PELVIS W,72193,"$2,442.00 ",CT SCANS
5300237,CT PELVIS WWO,72194,"$2,442.00 ",CT SCANS
5300453,CT PERI RETROPERITONEAL DRAINAGE,49406,"$1,859.00 ",CT SCANS
5300351,CT S T NECK,70490,"$1,295.00 ",CT SCANS
5300369,CT S T NECK W,70491,"$2,105.00 ",CT SCANS
5300377,CT S T NECK WWO,70492,"$2,442.00 ",CT SCANS
5300698,CT THOR/ABD/PEL,,$2.00 ,CT SCANS
5300699,CT THOR/ABD/PEL W,,$1.00 ,CT SCANS
5300700,CT THOR/ABD/PEL WWO EXPLODE,71270,$1.00 ,CT SCANS
5300245,CT THORAC SP,72128,"$1,295.00 ",CT SCANS
5300252,CT THORAC SP W,72129,"$1,895.00 ",CT SCANS
5300260,CT THORAC SP WWO,72130,"$1,895.00 ",CT SCANS
5300021,CT THORAX,71250,"$1,295.00 ",CT SCANS
5300104,CT THORAX W,71260,"$2,105.00 ",CT SCANS
5300112,CT THORAX WWO,71270,"$2,063.00 ",CT SCANS
5371250,CT THORAX/ABD,71250,"$1,295.00 ",CT SCANS
5371260,CT THORAX/ABD W,71260,"$2,105.00 ",CT SCANS
5371270,CT THORAX/ABD WWO,71270,"$2,063.00 ",CT SCANS
5300575,CT UE LT,73200LT,"$1,295.00 ",CT SCANS
5300120,CT UE RT,73200RT,"$1,295.00 ",CT SCANS
5300591,CT UE W LT,73201LT,"$5,116.00 ",CT SCANS
5300138,CT UE W RT,73201RT,"$5,116.00 ",CT SCANS
5300617,CT UE WWO LT,73202LT,"$3,004.00 ",CT SCANS
5300146,CT UE WWO RT,73202RT,"$3,004.00 ",CT SCANS
5300454,CT VISCERAL FLUID COLLECTION,49405,"$4,579.00 ",CT SCANS
5300659,CTA  AORTA,,$1.00 ,CT SCANS
5300690,CTA ABDOMEN,74175,"$2,105.00 ",CT SCANS
5374174,CTA ABDOMEN AND PELVIS,74174,"$3,969.00 ",CT SCANS
5375635,CTA AORTO-ILIOFEMORAL RUNOFF,75635,"$2,442.00 ",CT SCANS
5300658,CTA CHEST,71275,"$2,442.00 ",CT SCANS
5300657,CTA CHEST 52 MODIFIER,7127552,"$2,393.00 ",CT SCANS
5300633,CTA HEAD,70496,"$2,442.00 ",CT SCANS
5300632,CTA HEAD / CTA NECK,70496,"$2,442.00 ",CT SCANS
5300641,CTA NECK,70498,"$2,442.00 ",CT SCANS
5300666,CTA PELVIS,72191,"$2,105.00 ",CT SCANS
5600526,US ABCESS DRAINAGE WITH CATHETER PLACEME,75989,"$2,448.00 ",CT SCANS
5300694,US BIOPSY ABD/ RETR MASS PERCUTANEOUS,49180,"$4,450.00 ",CT SCANS
