CHARGE_CODE,CHARGE_DESCRIPTION,CHARGE,REVENUE_CODE,CPT_CODE,PHARMACY_NDC
4180127,CONNECTOR CLAVE,8.07,270,,
4180128,CONNECTOR TUBE 5IN1,1.85,270,,
4180142,DIANEAL ULTRA 1.5% S,179.79,270,,
4180144,DIANEAL ULTRA 4.25%,202.45,270,,
4180148,DRAIN JP RESERVOIR,81.85,270,,
4180151,DRAPE BARIER STERILE,9.76,270,A4649,
4180163,DRESSING DRAIN,4.08,270,A6402,
4180170,DRESSING  HYDROCOLLOID SM,20.75,270,A6234,
4180200,ELECTRODES SET,4.76,270,A4556,
4180211,ENT FLEX ESY FD BG,21.13,270,,
4180212,ENT COMP FDNG SET/BG,22.45,270,,
4180213,ENT FEED PUMP,22.31,270,B4035,
4180214,ENT QUANT SET W/BAG,37.64,270,,
4180215,ENT FEDNG SYRIN BULB,3.68,270,,
4180217,ENTERAL G TUBE,189.99,270,,
4180221,ENTER GAS KIT FLEXIF,994.72,270,,
4180226,ENTERAL SPIKE SET,21.26,270,,
4180228,EYE PATCH,5.27,270,A6411,
4180229,FILTER BACT RESPIRATORY,7.15,270,,
4180231,FILTER MICRON,21.53,270,,
4180238,GLOVES SURG STERILE,16.34,270,A4930,
4180240,GOWN STERILE  DISP,21.26,270,,
4180261,IV INJECTION CAPS,13.58,270,,
4180262,IV NEEDLE LOCK DEVIC,.24,270,,
4180263,IV ST ADMN PUMP N/VN,31.67,270,,
4180264,IV ST ADMN SECONDARY,9.26,270,,
4180265,IV SET EXTENSION SET,21.78,270,,
4180266,IV SET PRIMARY EA,95.89,270,,
4180267,KIT IV START,11.34,270,A4222,
4180270,KIT BLOOD GAS,10.57,270,,
4180275,TRAY DEBRIDEMENT DISP,18.35,270,A4550,
4180279,KIT INTRODUCER,517.53,270,,
4180284,KIT PICC SNGL LUMEN,827.66,270,,
4180285,KIT PICC DOUBLE LUMEN,1017.46,270,,
4180286,KIT PICC TRIPLE LUMEN,1738.86,270,,
4180287,KIT STAPLE REMOVER,12.43,270,,
4180288,KIT SUCT CATH W/GLOV,5.93,270,,
4180294,KNEE IMMOBILIZER,338.77,270,,
4180305,MASK MULTI VENT,12.67,270,A4620,
4180306,MASK NON REBREATHER,11.63,270,,
4180307,MASK OXYGEN/AEROSOL,3.16,270,A4620,
4180308,MASK TRACH,30.68,270,,
4180311,KIT MIDSTREAM URINE,8.21,270,,
4180319,BOOTS MULTI,652.22,270,,
4180320,SOL NAC .9% IRRIG,10.96,270,,
4180342,OS STOMAHESIVE PASTE,44.51,270,A4364,
4180344,OS POUCH ONLY 2PC  NO DRAIN,19.29,270,,
4180365,PACK BASIC,81.85,270,A4649,
4180368,PAD GROUNDING,32.81,270,A4649,
4180370,PILLOW ABDUCTION SM,276.41,270,,
4180374,OS POUCH ONLY 2PC  W/DRAIN,12.54,270,,
4180384,BED BARIATRIC,1077.87,270,E0290,
4180389,LAL MATTRESS,190.29,270,E0372,
4180398,HYPOTHERMIA UNIT,183.91,270,E0217,
4180401,ISOLATION SUPPLIES,410.84,270,,
4180404,PULSED ELECTROMAG UNIT,351.85,270,E1399,
4180408,PUMP  PCA,152.52,270,E0779,
4180412,WOUND VAC,760.05,270,E2402,
4180417,SCALPEL DISP.,19.63,270,,
4180418,SLEEVE SCD KNEE,312.49,270,E0671,
4180422,SET BLD TYPE PMP EXT,55.99,270,,
4180426,SHEET EXTREMITY,155.14,270,,
4180431,SKIN STAPLER,12.43,270,A4649,
4180440,SPLINT ARM/HAND,168.62,270,,
4180448,SPONGE DISSECTOR,10.57,270,,
4180450,STOCKING ANTIEMB,66.29,270,,
4180451,STOPCOCK,6.07,270,,
4180452,SOL WAT IRRIG 1000CC,11.26,270,,
4180457,SUTURE GENERAL,21.13,270,A4649,
4180470,TAPE HYPOALLERGENIC/OTHER,89.93,270,A4450,
4180472,TAPE PAPER,8.21,270,,
4180473,TAPE TRANSPARENT,8.21,270,A4450,
4180486,TRACH HOLDER,7.41,270,,
4180489,TRAP SUCTION ENDO,10.96,270,,
4180490,TRAY ADD A FOLEY DISP,60.74,270,,
4180494,TRAY CATH FOLEY DISP,63.12,270,,
4180495,TRAY CATH STRAIGHT D,23.75,270,,
4180496,TRAY CHEST TUBE DISP,653.41,270,,
4180498,TRAY DIALYSIS DISP,1374.02,270,,
4180499,TRAY DRESSING MINOR,52.83,270,,
4180500,TRAY CVP DRESSING DISP,74.03,270,,
4180505,TRAY IRRIGATION DISP,7.94,270,,
4180507,TRAY LACERATION DISP,86.34,270,,
4180510,MULTI LUMEN TRAY,378.12,270,,
4180514,TRAY PARACENTESIS DISP,615.94,270,,
4180521,TRAY SUTURE REMOVAL DISP,4.35,270,A4649,
4180522,KIT THORACENTESIS DISP EA,501.58,270,,
4180523,TRAY TRACH CARE DISP,11.49,270,,
4180527,GASTROSTOMY/JEJUNOSTOMY TUBE,88.58,270,B4087,
4180532,TUBE OXYGEN CONNECT,5.27,270,,
4180533,TUBE SALEM SUMP,12.67,270,,
4180535,CATHETER YANKAUER,5.27,270,,
4180537,TUBING OXYGEN,2.91,270,,
4180553,VALVE ANTI-REFLUX,46.36,270,,
4180558,VALVE PEEP FLO/ADJ,24.68,270,,
4180559,OS FLANGE/BARRIER-CONVEX,30.51,270,A4373,
4180560,WATER NEBULIZER,10.32,270,,
4180564,BAG  URINE DRAIN,27.34,270,,
4180566,CANNULA NASAL,5.55,270,,
4180567,CATH RED RUBBER KIT,6.36,270,A4353,
4180569,DIALYZER,134.67,270,,
4180573,PAD HYPOTHERMIA,44.9,270,,
4180575,BED BEAD,1837.92,270,E0194,
4180577,BED ROTATING,332.73,270,E0277,
4180578,K-PAD,6.37,270,,
4180579,SLEEVE  SCD THIGH,480.18,270,E0673,
4180583,TRACH  DCFS,444.13,270,,
4180584,TUBE  FEEDING TUBE,53.85,270,,
4180585,TUBE  FEEDING ATTCH,18.48,270,,
4180586,VALVE  SPEAKING,900.44,270,,
4180587,DRESSING  WND VAC SM,295.75,270,,
4180588,DRESSING  WND VAC LG,322.14,270,,
4180590,SUCTION DIVERTER  WOUND,418.81,270,,
4180591,SUCTION TIP IRRIGATOR,208.87,270,,
4180592,G-TUBE HOLDER,101.49,270,,
4180593,ACCESS WINDOW  OS POUCH,63.38,270,,
4180594,CATHETER  INTERMITTENT,16.54,270,,
4180595,SECUREMENT DEVICE  NASAL TUBE,36.29,270,,
4180596,CHAIR CUSH COVER  AIR-CELL  LG,1142.56,270,,
4180597,DRESSING  NPWT W/IRRIG SM,541.9,270,,
4180598,DRESSING  NPWT W/IRRIG MD,633.75,270,,
4180599,DRESSING  NPWT W/IRRIG MD,734.77,270,,
4180600,NPWT IRRIG CASSETTE,303.09,270,,
4180601,NPWT DUO TUBE SET,413.31,270,,
4180965,CIRCUIT VENT HEATED,165.84,270,,
4180966,BOTTLE CONDENSATE,14.16,270,,
4180971,OXY EARS,8.6,270,,
4180989,HME 1200 15X15X22,17.83,270,,
4180991,TRACH  DCT,274.9,270,,
4180998,TRACH  DIC,38.28,270,,
4181001,CONCHA H2O 1650ML,29.33,270,,
4181010,TRACH  DCFN,464.75,270,,
4181042,SPIKE ADAPTER VENTED,14.52,270,,
4181115,PACKING STRIP IODOFO,47.93,270,,
4181120,BIO BAG  LARVAL THERAPY,2314.51,270,,
4181121,PAD W/ CONNECTOR  WND VAC,88.17,270,,
4181122,Y CONNECTOR  WND VAC,23.43,270,,
4182000,MATRISTEM WOUND SHEET 3X7CM,244.66,270,,
4182001,MATRISTEM WOUND SHEET 3X7CM,478.75,270,,
4182002,COLLAR CERVICAL VISTA,230.12,270,,
4182003,MITTEN HAND CONTROL,175.89,270,,
4182004,NEBULIZER UPDRAFT SET UP,19.84,270,,
4182005,SPRAY SUREPREP28ML,26.45,270,,
4182006,SENSOR EAR LNCS E1,112.41,270,,
4182008,FILTER  EXHALATION SPU DX800,48.93,270,,
4182009,CIRCUIT ANESTHESIA,26.45,270,,
4182010,KIT CIRCUIT BIPAP EXPORT,132.25,270,,
4182011,CONTAINER EVAC 1000ML,25.13,270,,
4182012,BANDAGE FOAM COFLEX LF2 4",13.23,270,,
4182013,VALVE SAFESITE W/EXTRA BL CAP,3.97,270,,
4182014,SUCTION RESERVOIR 100CC,27.77,270,,
4182015,HUMIDIFIER HI-FLO BUBBLE 350ML,14.55,270,,
4182016,CIRCUIT AIRVO,260.53,270,,
4182017,MOUTHPIECE ACAPELLA/BLUE,166.64,270,,
4182018,PASTE CALAZIME PROTECTANT,21.16,270,,
4182019,KIT FLEXI-SEAL SIGNAL FMS,629.51,270,,
4182020,TRAY SURG EXTREMITY IV,134.9,270,,
4182021,SYS ORAL CLEAN & SUCTION,64.8,270,,
4182022,DRESS OPTIFOAM SILI GNTL 4X4,14.55,270,,
4182023,CURETTE STERILE DISP 4MM,11.9,270,,
4182024,DRESS GAUZE CUTICERIN 3X3,1.32,270,,
4182025,FMS FLEXISEAL CONTROL PRIVACY,25.13,270,,
4182026,SOL IRRIG WOUND PROTOSAN,297.56,270,,
4182027,SOL IRRIG WOUND PROTOSAN,5.29,270,,
4182028,STAPLER SKIN DISP WIDE 35,23.81,270,,
4182029,DRAPE  SX C-ARM 41X74,18.52,270,,
4182030,DRAPE LAP POUCH 102X78,41,270,,
4182031,PACK SURG ARTHRO KNEE 111,226.15,270,,
4182032,CATH TWIN PERIPHERAL,48.93,270,,
4182033,SET TUBE 10K ARTHROSCOPE,171.93,270,,
4182034,DRESS OPTIFOAM ADH 6X6 GENTLE,26.45,270,,
4182035,DRESS SILVASORB SITE 1" RND,19.84,270,,
4182036,DRESS SILVERSORB GEL 1.5OZ,67.45,270,,
4182037,DRESS STERISTRIP 1/4X3IN,2.65,270,,
4182038,DRESS SURESITE 4X4.5,6.61,270,,
4182039,SYRINGE LUER-LOCK 3ML,33.06,270,,
4182040,SYRINGE LUER-LOCK 10ML,1.32,270,,
4182041,DRESS GAUSE XEROFORM 5X9,21.16,270,,
4182042,GEL MULTIDEX WOUND FILLER 15ML,21.16,270,,
4182043,VAC GRANUFOAM LG DRESS,207.63,270,,
4182044,DRESS VAC GRANDUFOAM/F-FORM ME,171.93,270,,
4182045,VAC TRAC TUBING CAB,72.74,270,,
4182046,SET SPIKE STELLANT DUAL QUIC,80.67,270,,
4182047,ELECTRODE PRO-PADZ STRL,167.96,270,,
4182048,SCREW CORTICAL 2.7X18MM,190.44,278,,
4182049,DRESS COLL PURACOL+SILVER 2X2,25.13,270,,
4182050,TUBE GASTRO 3PORT 22F,76.71,278,,
4182051,RECORDER REVEAL LINQ SYS,19222.54,278,,
4182052,SCREW CANCELLOUS 3X22 MM,551.48,278,,
4182053,DRESS VAC FOAM-SM,138.86,270,,
4182054,DRESS BURN/WND PLUROGEL 1.7OZ,424.52,270,,
4182056,TUBE TRACH MURPHY 3.5MM UNCUFF,137.54,270,,
4185565,DIANEAL LOW CA 2.5%,200.64,270,,
4185570,DRAIN BLAKE,514.92,270,,
4185571,IV SET BUTTERFLY,8.6,270,,
4185573,CATHETER TRIPLE LUMEN,767.74,270,,
4185578,TRAY CHEST DRAINAGE DISP,204.52,270,,
4185579,CRASH CART,1200.7,270,,
4185581,TRACHEOSTOMY CAP,52.35,270,,
4185587,EXERCISER HAND,62.84,270,,
4185596,OXYSENSOR DISPOSABLE  FINGER,129,270,A4606,
4186002,INCENTIVE SPIROMETER,76.84,270,,
4186003,OS IRRIGATION SET,153.58,270,A4400,
4186005,HOT OR COLD PACK,13.19,270,,
4186008,COMPRESSION GLOVE,29.16,270,,
4186009,OT THERAPY PUTTY PER LB,47.82,270,,
4186010,BED NET,696.79,270,E0316,
4186012,MASK  REUSABLE PATIENT MASK,277.27,270,,
4186013,TUBE  STERILE CONNECTOR,6.19,270,,
4186015,CLAMP,3.68,270,,
4186017,DRESSING  ALGINATE MD,26.38,270,A6197,
4186018,DRESSING  ALGINATE LG,81.83,270,A6198,
4186020,BED LOW BED,332.73,270,E0255,
4186021,SLING  BODY DISP,620.53,270,,
4186028,CASTING SUPPLIES,19.56,270,,
4186031,BETADINE OINTMENT,.68,270,,
4186033,STOMAHESIVE PROTECTIVE POWDER,31.67,270,A4364,
4186035,BETADINE SOLN 237ML,12.27,270,,
4186037,HIBICLENS,29.07,270,,
4186048,BOWEL MGMT SYSTEM,2323.75,270,,
4186050,LAVAGE GUN TIP,672.81,270,,
4186052,DRESSING  ALGINATE ROPE,52.01,270,A6199,
4186054,DRESSING  COMPRESSION SYSTEM,126.11,270,,
4186055,DRESSING  COMPRESSION LG,114.34,270,,
4186056,DRESSING  CONTACT LAYER SM,40.01,270,A6206,
4186057,DRESSING  CONTACT LAYER MD,43.06,270,A6207,
4186058,DRESSING CONTACT LAYR GAUZE MD,7.79,270,A6208,
4186059,DRESSING  FOAM SM,21.53,270,A6209,
4186060,DRESSING  FOAM MD,30.91,270,A6210,
4186061,DRESSING  FOAM LG,51.75,270,A6211,
4186062,DRESSING  HYDROCOLLOID MD,26.38,270,A6235,
4186063,DRESSING  HYDROCOLLOID LG,61.16,270,A6236,
4186064,DRESSING  HYDROGELS SM,11.72,270,A6242,
4186065,DRESSING  HYDROGELS MD,28.92,270,A6243,
4186066,DRESSING  HYDROGELS LG,80.71,270,A6244,
4186067,DRESSING  ANTIFUNGAL CRM 5 OZ,48.75,270,A6248,
4186071,SECUREMENT DEVICE SM,31.94,270,A6251,
4186072,SECUREMENT DEVICE MD,44.9,270,A6252,
4186073,SECUREMENT DEVICE LG-GRIP/HOLD,35.98,270,A6253,
4186074,DRESSNG ABSORPTVE COVER RIBBON,21.13,270,A6216,
4186075,DRESSING  ABSORPTIVE COVER MD,1.15,270,A6217,
4186076,DRESSING  ABSORPTIVE,14.87,270,A6218,
4186077,DRESSING  TRANSPARENT FILM SM,2.65,270,A6257,
4186078,DRESSING  TRANSPARENT FILM MD,7.79,270,A6258,
4186079,DRESSING  FILM TRANSPARENT LG,17.16,270,A6259,
4186080,DRESSING  ANTIMICROBIAL SM,8.31,270,,
4186081,DRESSING  SILVER NON MESH,82.11,270,A6209,
4186085,DRESSING  ANTIMICROBIAL MD,21.53,270,,
4186086,DRESSING  ANTIMICROBIAL LG,67.33,270,,
4186087,DRESSING  CONTACT LAYER,23.39,270,A6208,
4186088,BED PULMONARY CARE,1770.92,270,,
4186089,REAGENT STRIP,112.4,270,,
4186090,BANDAGE KERLIX,8.31,270,A6443,
4186096,OXYGEN,990.2,270,,
4186123,DRESSING  WND VAC EXTRA LG,892.45,270,,
4186135,IVIVI APPLICATOR 6",705.05,270,,
4186136,IVIVI APPLICATOR 8",784.25,270,,
4186137,DRESSING COMPOSITE SM ADHESIVE,4.5,270,A6203,
4186138,DRESSING COMPOSITE MD ADHESIVE,10.43,270,A6204,
4186139,DRESSING COMPOSITE LG ADHESIVE,10.03,270,A6205,
4186141,MIST THERAPY APPLICATOR KIT,554.54,270,,
4186142,NASAL TUBE  BRIDLE,879.72,270,,
4186149,ADAPTR CATH IV MULTI SAMPLE EA,1.51,270,,
4186150,BACTERIA FILTER SG PT USE PB,86.28,270,,
4186151,BAG DRAIN URINEMETR BEDSIDE EA,39.86,270,,
4186152,BAG  URINE DRAIN BEDSIDE EA,12.88,270,,
4186153,CANNISTER WOUND VAC EA,99.81,270,,
4186154,CATHETER TRIPLE LUMEN 7FR EA,397.04,270,,
4186155,CIRCUIT VENT HEATED 60 IN EA,81.11,270,,
4186156,CLAMP CATH/TUBE NASAL EA,2.63,270,,
4186157,CONCHA H20 1650ML W/COLUMN EA,86.83,270,,
4186158,IV SET BUTTERFLY HUBER EA,36.78,270,,
4186159,IV SET EXTENSION SET MICROBORE,61.47,270,,
4186160,PROTECTOR HEEL/ELBOW PREV PR,428.43,270,,
4186161,SLEEVE SCD KNEE LG EA,345.72,270,,
4186162,STOCKING ANTIEMB LG LNG PR,68.61,270,,
4186163,STOCKING ANTIEMB TED PR,29.18,270,,
4186164,TRACH HOLDER TUBE EA,54.21,270,,
4186166,TRACH  DIC XLT EA,41.18,270,,
4186167,TRAY THORA/PARACENTSIS DISP EA,316.33,270,,
4186168,KIT THORA/PARACENTESIS DISP EA,180.37,270,,
4186169,TUBE  CORR BLUE 6FT EA,5.39,270,,
4186170,TUBE FEEDING TUBE 36-45 IN EA,59.24,270,,
4186171,CATHETER GROSHONG,2420.35,270,,
4186172,KIT PICC DOUBLE LUMEN SOLO EA,3175.4,270,,
4186174,LUMEN TRAY,397.04,270,,
4186175,NASAL TUBE BRIDL SPARE CLIP PK,159.69,270,,
4186178,OS POUCH DOSE KIT,33.74,270,,
4186179,OS POUCH POST OP KIT,24.92,270,,
4186180,OS FLANGE/BARRIER,13.32,270,,
4186181,PEP DEV-POS.EXP.PRESS HIGH FLO,275.05,270,,
4186182,SHEET EXTREMITY HALF,9.28,270,,
4186183,SUTURE GENERAL PS,32.86,270,,
4186184,TRACH  DCT BIVONA EA,561.72,270,,
4186185,TRACH  DCT PROX/DIST EA,510.78,270,,
4186187,TRACH  DCT 4-8 DCT EA,350.3,270,,
4186188,TRAY CHEST DRAINGE PLEUR-BLOOD,323.98,270,,
4186189,TRAY CHEST DRAINGE DRY SUCT DI,221.03,270,,
4186191,TRAY LACERATION INC/DRAIN DISP,21.16,270,,
4186193,TUBE SALEM SUMP ANTI/ARV/FUN,34.39,270,,
4186194,WATER NEBULIZER AQUA/INH,17.04,270,,
4186195,BED BARIATRIC BED LAL MATTR,950.87,290,E0372,
4186196,BED LOW BED & LAL MATTRESS,613.9,290,E0372,
4186198,DRESSNG COMPSIT MD ADHESV ACRY,27.34,270,,
4186199,DRESSNG COMPSIT SM ADHESV ACRY,17.26,270,,
4186200,DRESSNG CONTCT LAYR SILICON LG,209.3,270,,
4186201,DRESSNG CONTCT LAYR SILICON MD,74.39,270,,
4186202,DRESSING  CLEAR ACRYLIC EX LG,73.08,270,,
4186203,DRESSING  FOAM SACRUM,185.29,270,,
4186205,DRESSING  CLEAR ACRYLIC MD,34.94,270,,
4186206,DRESSING  SILVER LG,124.06,270,,
4186207,DRESSING  SILVER ROPE,51.11,270,,
4186208,DRESSING  SILVER GEL MD,102.28,270,,
4186209,DRESSING  SILVER MD,65.5,270,,
4186210,DRESSING  SILVER SM,44.7,270,,
4186211,BANDAGE TUBE PER YD LG LEG,245.59,270,,
4186212,BANDAGE TUBE/YD LG ARM/MED LEG,217.06,270,,
4186213,DRESSING CLEAR ACRYLIC LG,47.44,270,,
4186214,DRESSNG ANTIMICRBL SECURMNT SM,48.28,270,,
4186215,DRESSING  CONTACT LAYER TRANS,2,270,,
4186216,ADAPTER CIRCUIT BRONCHOSCOPE,37.38,270,,
4186217,ADAPTER CIRCUIT MAJOR RESP EA,14.72,270,,
4186219,BINDER ABDOMINAL 3-PANEL EA,36.31,270,,
4186221,OXYSENSOR DISPOSABL FORHEAD EA,181.27,270,,
4186222,TEE ADAPTER,12.27,270,,
4186223,APPLICATOR  CHLORAPREP CLOTH,45.46,270,,
4186224,APPLICATOR  CHLORAPREP SWAB,3.36,270,,
4186225,BAG POST MORTEM,55.44,270,,
4186226,BAG  PRESSURE INFUSER,65.92,270,,
4186231,CONNECTOR DEVICE,20.6,270,,
4186232,NEBULIZER KIT EA,11.03,270,,
4186233,BANDAGE SELF ADHESIVE SM,3.01,270,,
4186234,DRESSING  SILVER EX SM,20.55,270,,
4186235,SECUREMENT DEVICE MD-GRIP/HOLD,36.57,270,,
4186236,SECUREMENT DEVICE SM-GRIP/HOLD,35.98,270,,
4186237,IV SET PRIM ULTRA EA,39.78,270,,
4186239,DRESSING  HYDROCOLLOID EX LG,68.68,270,,
4186240,CANNULA NASAL 02 ADULT HI FLOW,26.32,270,,
4186241,KIT SUCTION OPAQ EA,8.96,270,,
4186242,KIT SUCTION SWIVEL EA,58.4,270,,
4186243,SOL NAC .9% IRRIG UROMATIC,39.31,270,,
4186244,CATHETER TRIPLE LUMEN 7FR SHPS,448.79,270,,
4186247,BANDAGE TUBE PER YD CHEST,155.43,270,,
4186248,TRAY CHEST DRAINGE PLUERX DISP,451.52,270,,
4186249,SET BLD TYPE PMP EXT NON VENTD,89.76,270,,
4186250,IV SET PRIM SOLUTION EA,26.97,270,,
4186253,TRACH  DIC TUBE EA,15.07,270,,
4186254,DRESSNG CONTACT LAYER GAUZE SM,3.96,270,,
4186255,DRESSNG CONTACT LAYR ADAPTC MD,2.15,270,,
4186257,CIRCUIT VENT HEATED SINGLE EA,195.81,270,,
4186258,OT THERAPY PUTTY 2 OZ,9.44,270,,
4186259,NEBULIZER/TEE ADAPTER KIT,306.41,270,,
4186260,HONEY WOUND GEL 1.5 OZ,82.89,270,,
4186261,ANTIFUNGAL POWDER W/MICON NITR,24.36,270,,
4186262,HI LO START KIT,62.96,270,,
4186265,MIDLINE TRAY BARD POLY - FR,812.69,270,,
4186266,NASAL CANULA OPTIFLOW,168.9,270,,
4186267,HEMI SLING ARM RT/LT SM,284.28,270,,
4186268,HEMI SLING ARM RT/LT MD,244.93,270,,
4186269,COLLAR MIAMI J LG SM ST,423.55,270,,
4186270,COLLAR MIAMI J MED,436.59,270,,
4186271,COLLAR MIAMI J XSM/SSH,463.46,270,,
4186272,SLING ARM LG/MD,366.08,270,,
4186273,THERABAND LEVEL 1-3 PER YD LAT,9.25,270,,
4186274,SPLINT POSTERIOR LEAF,192.92,270,,
4186275,SLINT ARM/HAND RESTING,244.93,270,,
4186276,SPLINT WRIST,87,270,,
4186277,SPLINT HAND,143.87,270,,
4186278,REACHER,31.71,270,,
4186279,THERABAND LEVEL 5 PER YD,11.19,270,,
4186280,SHOE WEDGE XS-LG,126.86,270,,
4186281,SHOE WEDGE XLG,174.33,270,,
4186282,SHOE HEEL WEDGE XS-LG,151.11,270,,
4186283,SHOE HEEL WEDGE XLG,209.25,270,,
4186284,LEG LIFTER,71.45,270,,
4186285,SHOE HORN,13.12,270,,
4186286,SHOE HORN EZ SLIDE,33.25,270,,
4186287,URINARY LEG BAG & TUBING,43.4,270,,
4186288,PROTECT HEEL/ELBOW PREV PR XXL,651.58,270,,
4186289,SOCK AID,28.41,270,,
4186290,EXERCISER HAND SQ BALL,10.37,270,,
4186291,PALM PROTECTOR,31.63,270,,
4186293,CATHETER INSERTER,164.8,270,,
4186294,DIGIT BOWEL STIM,328.74,270,,
4186295,SUPPOSITORY INSERTER,346.66,270,,
4186296,DRESSING ABSORPT COVER NON AD,5.78,270,,
4186297,TRAY GROSHONG DBLE LUMEN,1105.89,270,,
4186298,HEMOSTAT ABSORBABLE LG,507.07,270,,
4186373,SLING ARM XLG,481.62,270,,
4186474,SLING ARM SM,395.52,270,,
4186575,ENVELOPE ARM SLING MED/XLG,38.35,270,,
4186676,ENVELOPE ARM SLING LG,40.41,270,,
4186777,THERABAND LEVEL 3-4 PER YD,7.76,270,,
4186878,THERABAND LEVEL 1-2 PER YD,5.27,270,,
4186880,PAIN RELIEVING GEL,39.17,270,,
4186881,CPM PATIENT PAD KIT,132.34,270,,
4186882,SVED CANVAS BAG,136.88,270,,
4186883,KIT MIDLINE CATH FULL KIT,524.87,270,,
4186884,KIT MIDLINE CATHETER,332.19,270,,
4186885,STERLIZED DISCONNECT CAP,29.51,270,,
4186886,CAPHNOGRAPHY SENSOR W/TUBING,124.37,270,,
4186887,PERITONEAL CLAMP,34.95,270,,
4186888,CIRCUIT IPV,725.85,270,,
4186900,VAPO KIT,643.91,270,,
4186901,AIRWAY CLEARANCE SYSTEM VEST,458.41,270,,
4186902,DRESSING ZINC IMPREGNATED,39.57,270,,
4186903,HONEY WOUND GEL SM,27.12,270,,
4186904,STOCKING ANTIEMB TED 2XL PR,64.45,270,,
4186905,STOCKING ANTIEB TED XL KNEE PR,34.49,270,,
4186906,KIT MOUTH CARE SUCTION,8.83,270,,
4186907,KNEE IMMOBILZER TRI-PANEL,235.3,270,,
4186908,PILLOW ABDUCTION LG,247.1,270,,
4186909,DRESSING BARRIER PACKET,3.07,270,,
4186910,DRESSING BARRIER TUBE 4 OZ,48.77,270,,
4186911,DRESSING BARRIER TUBE 3-4 OZ,22.13,270,,
4186915,DIANEAL ULTRA 1.5% 3000 ML,207.25,270,,
4186916,DIANEAL LOW CA 2.5% 3000ML,211.72,270,,
4186917,DIANEAL ULTRA 4.25% 3000ML,218.13,270,,
4186918,DRESSING  BARRIER SPRAY,39.15,270,,
4186919,DRESSING  BARRIER SWAB,9.41,270,,
