Description,CURRENT PRICE,,,
27-157  BILIARY CATH 10FR 35CM,$105.15,,,
2D TEE W OR W/O FOL W/CON IN,"$2,401.66",,,
2D TTE W OR W/O FOL W/CON CO,"$1,887.25",,,
2D TTE W OR W/O FOL W/CON FU,"$1,817.51",,,
3.25x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.25x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3.5x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3275155 5FR DUAL PICC POWER,$552.80,,,
3513 STOMETONE 30MM W30M,$74.25,,,
3-D RADIOTHERAPY PLAN,"$9,779.46",,,
3D RENDER W/INTRP POSTPROCES,$790.91,,,
3x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
3x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4F 65CM C2 COBRA CATH,$261.86,,,
4x12XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x15XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x18XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x23XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x28XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x33XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x38XIENCE SIERRA EVEROLIM,"$2,400.00",,,
4x8XIENCE SIERRA EVEROLIM,"$2,400.00",,,
5 FR DUAL LUMEN POWER PICC,$701.00,,,
5 FR MICROPUNCTURE KIT,$130.00,,,
5F C2 COBRA GLIDECATH,$261.86,,,
5FR STR GUIDECATH 100CM,$166.00,,,
5-HIAA,$77.56,,,
6 FR INTRODUCER KIT,$156.00,,,
6 FR SWAN GANZ CATHETER,$261.86,,,
670-034-00 GUIDE CATH AL .75,$261.86,,,
7 FR SWAN GANZ CATHETER,$261.86,,,
7F BALKIN UP-OVER SHEATH,$327.50,,,
7FR TRIPLE LUMEN 16CM .032GDWR,$552.80,,,
7FR TRIPLE LUMEN 20CM .032GDWR,$552.80,,,
7G NEEDLE GUIDE INSERTS FISCHR,$12.00,,,
8.3 FR DRAINAGE CATHETER,$309.00,,,
8908 MAX FORCE TTS DILATO,$625.00,,,
8F DRAINAGE CATH,"$10,500.00",,,
8F STENT NEPHROURETERAL,$138.70,,,
9 FR 40CC INTRA AORTIC BALLOON,"$1,006.00",,,
9F 14 CM TEAR AWAY,$229.67,,,
AAA REP W UNIBDY BIFURC PROSTH,"$6,564.00",,,
AAS EA ANALYTE,$55.23,,,
AB ID RBC EA PANEL EA TECHN,$320.92,,,
AB ID; LEUKOCYTE AB,$283.89,,,
AB ID; PLATELET AB,$452.59,,,
AB ID; PLATELET IG ASSAY,$72.68,,,
AB: HBCAB -  IGM AB,$204.57,,,
AB: HBSAB,$197.91,,,
AB: THYROGLOBULIN,$316.91,,,
AB; ACTINOMYCES,$37.68,,,
AB; ADENOVIRUS,$176.93,,,
AB; ASPERGILLUS,$71.96,,,
AB; BACTERIUM NES,$61.31,,,
AB; BARTONELLA,$75.43,,,
AB; BLASTOMYCES,$72.68,,,
AB; BORDETELLA,$101.62,,,
AB; BRUCELLA,$54.28,,,
AB; CAMPYLOBACTER,$48.60,,,
AB; CANDIDA,$68.56,,,
AB; CHLAMYDIA,$57.91,,,
AB; CHLAMYDIA IGM,$61.31,,,
AB; CMV,$68.12,,,
AB; CMV  IGM,$88.21,,,
AB; COCCIDIOIDES,$62.84,,,
AB; COXIELLA BRUNETII,$203.81,,,
AB; CRYPTOCOCCUS,$53.37,,,
AB; DIPHTHERIA,$98.76,,,
AB; EB EARLY AG VIRUS,$72.22,,,
AB; EB VCA,$172.51,,,
AB; EBNA,$172.51,,,
AB; ENCEPHALITIS CALIF,$74.07,,,
AB; ENCEPHALITIS E EQUINE,$74.07,,,
AB; ENCEPHALITIS ST. LOUIS,$74.07,,,
AB; ENCEPHALITIS W EQUINE,$74.07,,,
AB; ENTEROVIRUS,$61.31,,,
AB; ERLICHIA,$57.59,,,
AB; FRANCISELLA TULARENSIS,$90.75,,,
AB; FUNGUS NES,$205.72,,,
AB; GIARDIA LAMBLIA,$83.66,,,
AB; HBCAB - TOTAL,$242.02,,,
AB; HBEAB,$105.63,,,
AB; HELICOBACTER PYLORI,$188.55,,,
AB; HELMINTH NES,$74.07,,,
AB; HEMOPHILUS INFLUENZA,$89.16,,,
AB; HEPATITIS D,$97.39,,,
AB; HISTOPLASMA,$256.75,,,
AB; HIV-1,$32.91,,,
AB; HIV-2,$50.07,,,
AB; HSV 1,$66.42,,,
AB; HSV NON-SPECIFIC,$78.90,,,
AB; HSV TYPE 2,$94.10,,,
AB; HTLV OR HIV WB,$96.51,,,
AB; HTLV-I,$31.08,,,
AB; HTLV-II,$51.87,,,
AB; INFLUENZA VIRUS,$64.73,,,
AB; LCM,$120.75,,,
AB; LEGIONELLA,$86.41,,,
AB; LEISHMANIA,$145.00,,,
AB; LEPTOSPIRA,$148.31,,,
AB; LYME'S (WB) CONFIRM,$74.94,,,
AB; LYME'S DISEASE,$139.07,,,
AB; MALARIA,$68.12,,,
AB; MUMPS,$102.87,,,
AB; MYCOPLASMA,$192.00,,,
AB; NOCARDIA,$48.84,,,
AB; PARVOVIRUS,$98.76,,,
AB; PROTOZOA NES,$69.94,,,
AB; RICKETTSIA,$109.71,,,
AB; ROTAVIRUS,$54.69,,,
AB; RSV,$112.50,,,
AB; RUBELLA,$157.78,,,
AB; RUBEOLA,$102.87,,,
AB; SALMONELLA,$68.12,,,
AB; TETANUS,$91.89,,,
AB; TOXOPLASMA,$108.34,,,
AB; TOXOPLASMA IGM,$105.63,,,
AB; TRICHINELLA,$71.34,,,
AB; VARICELLA-ZOSTER,$100.30,,,
AB; VIRUS NES,$72.68,,,
AB; YERSINIA,$48.84,,,
ABBOTT ABSPRO  STENT 10X60X135,"$1,656.25",,,
ABBOTT ABSPRO  STENT 8X40X135,"$1,656.25",,,
ABBOTT ABSPRO  STENT 8X60X135,"$1,656.25",,,
ABD AORTOGRAM W BILAT RUNOFF,"$9,165.07",,,
ABD PARACENTESIS,"$1,954.29",,,
ABD PARACENTESIS W/IMAGING,"$2,337.91",,,
ABDOMINAL AORTOGRAM,"$10,975.25",,,
ABG KITS,$21.15,,,
ABL1 GENE,$900.00,,,
ABLAT SV ARRHYTHM FOCUS WO CPB,$273.00,,,
ABLATE ARRHYTHMIA ADD ON,"$10,462.00",,,
ABLATE BONE TUMOR(S) PERQ BIL,"$23,323.10",,,
ABLATE BONE TUMOR(S) PERQ LT,"$15,548.73",,,
ABLATE BONE TUMOR(S) PERQ RT,"$15,548.73",,,
ABLATE PULM TUMOR PERQ CRYBL,"$12,448.83",,,
ABP MONITOR 24+ HRS SCAN ANALY,$291.33,,,
ABP MONITOR 24+ HRS; GLOBAL,$146.00,,,
ABP MONITORNG 24+ HRS RECORDNG,$291.33,,,
ABSC CYST CONSTRAST INJ,$299.88,,,
ABSC LOCALIZ; WB,"$3,928.52",,,
ABSCESS CULTURE- TEST EXCHANGE,$262.10,,,
ABSCESS FISTULA/SINUS TRACT ST,"$1,391.78",,,
ABSCLOCALIZ; SPECT,"$1,256.55",,,
ACAMPROSATE 333MG TABDR,$10.62,,,
ACAPELLA SUPPLY,$196.00,,,
ACARBOSE 25 MG TAB,$5.40,,,
ACCESS SET RING TRANSJUGULAR,"$1,067.00",,,
ACCESS SYSTEM ANTERIOR CURVE,"$1,500.00",,,
ACCESS SYSTEM DOUBLE CURVE,"$1,500.00",,,
ACCESS SYSTEM SINGLE CURVE,"$1,500.00",,,
Accolade SR L310 PPM,"$17,600.00",,,
ACCUSTICK II WITH 038 J-TIP WI,$207.00,,,
ACCUSTICK INTRODUCER SYSTEM,$202.00,,,
ACE BANDAGE,$19.00,,,
ACEBUTOLOL HCL 200 MG CAP,$6.48,,,
ACETAMIN/ASPIRIN/CAFFEINE TAB,$0.12,,,
ACETAMIN/BUTALBITAL/CAFF  TAB,$11.70,,,
ACETAMINOPHEN 120 MG SUPP,$2.00,,,
ACETAMINOPHEN 160 MG/5 ML UDC,$2.89,,,
ACETAMINOPHEN 160MG/5ML 30ML,$12.53,,,
ACETAMINOPHEN 325 MG SUPP,$2.00,,,
ACETAMINOPHEN 325 MG TAB,$1.97,,,
ACETAMINOPHEN 500 MG TAB,$2.00,,,
ACETAMINOPHEN 650 MG SUPP,$2.00,,,
ACETAMINOPHEN 650 MG/20.3 ML,$3.90,,,
ACETAMINOPHEN 80 MG CHEW,$2.00,,,
ACETAMINOPHEN IV 1000MG/100ML,$255.86,,,
ACETAMINOPHEN/COD 12.5 ML UDC,$9.48,,,
ACETAZOLAMIDE 250 MG TAB,$25.20,,,
ACETAZOLAMIDE 500 MG CAPER,$29.34,,,
ACETAZOLAMIDE SOD INJ  500 MG,$238.57,,,
ACETONE ASSAY,$87.78,,,
ACETYLCHOLINESTERASE,$41.37,,,
ACETYLCYSTEINE 6 GM/30 ML IV,"$1,410.00",,,
ACETYLCYSTEINE INH 6 GRAM,$125.04,,,
ACETYLCYSTEINE INH 800 MG/4 ML,$72.16,,,
ACHIEVE BX NEEDLE 16 G,$299.00,,,
ACID PERFUSIONTST  ESOPHAGITIS,"$1,232.46",,,
ACJ BILATERAL W/WO WEIGHTS,$533.11,,,
ACT 18/11 NEEDLE,$299.00,,,
ACT 18/15 NEEDLE,$299.00,,,
ACT 18/20 NEEDLE,$299.00,,,
ACT 18/9 NEEDLE,$299.00,,,
ACT 20/15 NEEDLE,$299.00,,,
ACT 20/20 NEEDLE,$299.00,,,
ACT 20/9 NEEDLE,$299.00,,,
ACTH,$199.95,,,
ACTH STIM; ADRENAL INSUFF,$120.81,,,
ACTIVATED COAGULATION TIME,$163.22,,,
ACTIVATED PROTEIN C RESISTANCE,$283.89,,,
ACUTE GI BLEED STUDY,"$2,496.06",,,
ACUTE HEPATITIS PANEL,$739.46,,,
ACYCLOVIR  SOD 500 MG INJ,$96.00,,,
ACYCLOVIR 200 MG CAP,$0.78,,,
ACYCLOVIR 800 MG TAB,$27.28,,,
ACYLCARNITINES; QUAL,$51.39,,,
ACYLCARNITINES; QUAN,$96.00,,,
ADAPTA SR IMPL SGL CHAM PACEM,"$10,408.00",,,
ADAPTER KIT BLV-BIS,"$1,584.00",,,
ADAPTER LATITUDE NXT USB 6295,$300.00,,,
ADDED SKIN LESIONS INJECT >7,$468.57,,,
ADENOSINE IV DIAGNOSTIC 60 MG,$519.78,,,
ADENOSINE IV TX 6 MG,$110.70,,,
ADENOVIRUS AG BY IF,$100.12,,,
ADENOVIRUS AG IA,$44.40,,,
ADHESION BARRIER,"$1,045.95",,,
ADJ GASTR BAND- INJ/ASP SALINE,$150.00,,,
ADM XTRM PTA 3.0X120MM 130CM,$620.62,,,
ADM XTRM PTA 3.0X120MM 80CM,$620.62,,,
ADM XTRM PTA 3.0X20MM 130CM,$620.62,,,
ADM XTRM PTA 3.0X20MM 80CM,$620.62,,,
ADM XTRM PTA 3.0X40MM 130CM,$620.62,,,
ADM XTRM PTA 3.0X40MM 80CM,$620.62,,,
ADM XTRM PTA 3.0X80MM 130CM,$620.62,,,
ADM XTRM PTA 3.0X80MM 80CM,$620.62,,,
ADMIN FLU VIRUS VACCINE,$157.26,,,
ADMIN HEPATITIS B EA ADDL VAC,$112.62,,,
ADMIN HEPATITIS B VACCINE,$157.26,,,
ADMIN INFLUENZA EA ADDL VAC,$112.62,,,
ADMIN PNEUMOCCAL EA ADDL VAC,$157.26,,,
ADMIN PNEUMONIA VACCINE,$157.26,,,
ADRENAL ANGIOGR - BILAT,"$9,165.07",,,
ADRENAL ANGIOGR - UNIL,"$1,698.90",,,
ADRENAL CORTEX AND/OR MEDULLA,"$3,335.49",,,
ADVISA MRI DR DEV IMPL DUAL,"$14,752.00",,,
AEROB BACTERIA CULTURE STOOL,$334.30,,,
AEROB BACTERIAL BLOOD CULTURE,$258.08,,,
AEROBIC STOOL CULTR ADDTL PATH,$161.83,,,
AEROCHAMBER INH RESP,$40.00,,,
AEROSOL PENTAMIDEN FOR P CARIN,$469.94,,,
AEROSOL SPUTUM COLLECT,$133.96,,,
AEROSOL VENT DEVICE,$143.80,,,
AFB CHARGE,$100.12,,,
AFTER CATARACT LASER SURG 1+ST,"$1,805.16",,,
AG DETECT NOS IA MULT,$292.12,,,
AG DETECT NOS IA SINGLE,$35.52,,,
AGA OCCLUDER SEPTAL 25MM,"$17,775.00",,,
AGENT NOS ASSAY W/OPTIC,$76.85,,,
AGGLUTININS FEBRILE,$136.50,,,
AGILITY GUIDEWIRE,$154.64,,,
AIRGD INTRODUCER & DILATOR,$229.67,,,
AIRWAY INHALATION TREATMENT,$284.97,,,
ALBENDAZOLE 200 MG TAB,"$1,456.02",,,
ALBUMIN (HUMAN) 25% 50ML,$424.53,,,
ALBUMIN (HUMAN) 5% 250 ML,$426.60,,,
ALBUMIN 25% 100 ML,$551.83,,,
ALBUMIN 25% 50 ML,$347.16,,,
ALBUMIN 5%  250 ML,$412.03,,,
ALBUMIN 5%  500 ML,"$1,296.00",,,
ALBUMIN 5% 500 ML,$148.15,,,
ALBUMIN; QUAN,$157.78,,,
ALBUTEROL 18 GM INH,$1.87,,,
ALBUTEROL 2 MG TAB,$43.52,,,
ALBUTEROL 2 MG/5 ML UDC,$3.84,,,
ALBUTEROL 8 GM INH,$131.92,,,
ALBUTEROL SULF INH SOL.042 3ML,$9.99,,,
ALBUTEROL SULF INH SOL.083 3ML,$4.80,,,
ALBUTEROL/IPRATROP 3ML NEB,$13.26,,,
ALCOHOL/DRUG; INTENSIVE OP TX,$125.00,,,
ALDOLASE,$65.83,,,
ALDOSTERONE,$211.19,,,
A-LEAD 1882TC/46,"$2,088.71",,,
ALENDRONATE 70 MG TAB,$122.94,,,
ALINE TRANSDUCER,$95.00,,,
ALISKIREN 150 MG TAB,$41.58,,,
ALKALINE PHOSPHATASE,$42.51,,,
ALKALINE PHOSPHATASE ISOENZYM,$81.24,,,
ALKALOIDS NOS,$33.06,,,
ALLERG SP  IGG QUAN OR SEMIQUN,$42.51,,,
ALLERG SP IGE; QUAN OR SEMIQUN,$74.89,,,
ALLOPURINOL 100 MG TAB,$1.99,,,
ALLOPURINOL 300 MG TAB,$4.02,,,
ALLURE CRT-P RF,"$48,750.00",,,
ALOGLIPTIN 25 MG TAB,$77.10,,,
ALPHA-1-ANTITRYPSIN; PHENOTYPE,$82.29,,,
ALPHA-1-ANTITRYPSIN; TOTAL,$230.00,,,
ALPHA-2-ANTIPLASMIN,$28.53,,,
ALPHA-FETOPROTEIN AMNIOTIC,$90.51,,,
ALPHA-FETOPROTEIN L3,$238.56,,,
ALPHA-FETOPROTEIN SERUM,$93.73,,,
ALPRAZOLAM 0.5 MG TAB,$1.41,,,
ALTEPLASE RECOMB IV 10 MG,"$5,280.24",,,
ALTEPLASE RECOMB IV 100 MG,"$52,802.16",,,
ALTEPLASE RECOMB IV 2 MG,$912.98,,,
ALTEPLASE RECOMB IV 50 MG,"$26,401.08",,,
ALUMINUM ASSAY,$144.01,,,
ALUMINUM SUL/CALCIUM AC PWD UD,$2.03,,,
A-MEDIC STER SAFESCAN TRAN COV,$100.00,,,
AMIKACIN,$82.92,,,
AMILORIDE HCL 5 MG TAB,$7.16,,,
AMINO 5%/D25/LYTES 2000 ML,$460.92,,,
AMINO ACID 4.25%/D5 2000ML LYT,$418.68,,,
AMINO ACIDS 5%/D20- 2000 ML,$427.20,,,
AMINO ACIDS 5%/D20 2000ML LYTE,$455.88,,,
AMINO ACIDS 5%/D25W  2000 ML,$437.28,,,
AMINO ACIDS 6/>  QUAN EA,$126.41,,,
AMINO ACIDS; 2-5 QUAN EA,$107.87,,,
AMINO ACIDS; MULTI QUAL EA,$78.18,,,
AMINO ACIDS; SGL QUAN EA,$216.70,,,
AMINO ACIDS; SINGLE QUAL EA,$51.39,,,
AMINOCAPROIC 5 GRAM INJ,$42.94,,,
AMINOPHYLLIN INJ 500 MG,$42.00,,,
AMIODARONE 200 MG TAB,$1.80,,,
AMIODARONE 900MG/18ML,$102.06,,,
AMIODARONE HCL 150 MG/3 ML AMP,$18.03,,,
AMIODARONE HCL IV 150 MG,$208.14,,,
AMIODARONE HCL IV 900 MG,$408.03,,,
AMITRIPTYLINE HCL 10 MG TAB,$1.97,,,
AMITRIPTYLINE HCL 25 MG TAB,$3.79,,,
AMLODIPINE BESYLATE 5 MG TAB,$0.48,,,
AMMONIA,$240.70,,,
AMMONIA INHALANT 0.33 ML AMP,$2.00,,,
AMMONIUM LACTATE 12%-140GM CRM,$168.00,,,
AMNIOCENTESIS DIAGNOSTIC,"$1,596.36",,,
AMNIOCENTESIS THERAPEUTIC,$744.24,,,
AMNIOTIC FLUID SPECTROPH,$28.05,,,
AMNIOTIC MEMBRANE,"$5,426.33",,,
AMOXICIL/CLAV 250 MG TAB,$35.52,,,
AMOXICIL/CLAV 250 MG/5 ML,$10.19,,,
AMOXICIL/CLAV 400MG/5ML UDC,$21.30,,,
AMOXICIL/CLAV 500 MG TAB,$22.02,,,
AMOXICIL/CLAV 600MG/5ML,$20.70,,,
AMOXICIL/CLAV 875 MG TAB,$29.43,,,
AMOXICILLIN  250 MG CAP,$1.50,,,
AMOXICILLIN  500 MG CAP,$2.82,,,
AMOXICILLIN 250MG/5 ML UD,$1.87,,,
AMOXICILLIN 400 MG/5 ML,$2.94,,,
AMP FING TH SGL W LOC ADV FLAP,"$7,336.23",,,
AMPHET ASP/AMPH/D-AMPH 10 MG,$10.45,,,
AMPHETAMINES (MIXED) 10 MG CAP,$36.78,,,
AMPHETAMINES 5 OR MORE,$143.75,,,
AMPICILLIN 250 MG CAP,$1.38,,,
AMPICILLIN 500 MG CAP,$3.65,,,
AMPICILLIN INJ 1 GM,$49.26,,,
AMPICILLIN INJ 2 GM,$95.62,,,
AMPICILLIN INJ 250MG,$26.27,,,
AMPICILLIN/SULBACTAM  3 GM,$92.15,,,
AMPICILLIN/SULBACTAM 1.5 GM,$57.05,,,
AMPL GOOSENECK SNARE,"$3,068.00",,,
AMPLASTZ TRACT MASTER SET,$539.00,,,
AMPLATZ SS 180CM 46-501,$154.64,,,
AMPLATZ SUPER STIFF GUIDEWIRES,$154.64,,,
AMPLIA MRI CRTD DEV,"$68,576.00",,,
AMPLIF NA PROBE NOS AGENT,$477.38,,,
AMPUTAT FING/TH SGL W DIR CLSR,"$7,336.23",,,
AMYLASE,$151.11,,,
"AMYLASE/LIPASE/PROTEASE 12,000",$19.71,,,
"AMYLASE/LIPASE/PROTEASE 4,200",$7.20,,,
"AMYLASE/LIPASE/PROTEASE 6,000",$9.70,,,
ANA SCREEN,$129.17,,,
ANA TITRE,$84.96,,,
ANABOLIC STEROID 1 OR 2,$139.00,,,
ANAEROB BACT CULTURE W ID,$242.02,,,
ANALGESICS NON-OPIOID 6/MORE,$71.00,,,
ANALYZE NEUROSTIM COMPLEX,$319.44,,,
ANALYZE SP INF PUMP W/REPROG,$726.33,,,
ANASTROZOLE 1 MG TAB,$12.42,,,
ANCHOR/SCREW BN/BN TIS/BN,"$1,139.40",,,
ANDROSTANEDIOL GLUCURONIDE,$106.80,,,
ANDROSTENEDIONE,$160.22,,,
ANESTH GENITALIA SURGERY,$240.92,,,
ANESTHESIA EA ADDITIONL 15 MIN,$639.73,,,
ANESTHESIA INITIAL 30 MIN,"$1,279.45",,,
ANGIO DYN OMNI FLUSH 5FR 65CM,$620.62,,,
ANGIO SEAL 8FR VIP,$487.00,,,
ANGIO SHEATH,$89.00,,,
ANGIOGR EA ADDTL VESSEL,"$3,000.00",,,
ANGIOSEAL 6F EVOLUTION C610134,$625.00,,,
ANGIOSEAL 6F EVOLUTION C61034,$625.00,,,
ANGIOSEAL 6FR 610130,$263.00,,,
ANGIOSEAL 6FR W ART OCC DV PLT,$625.00,,,
ANGIOSEAL 8F EVOLUTION C610135,$625.00,,,
ANGIOSEAL 8FR STS PLUS VCD,$625.00,,,
ANGIOTENSIN I-CONVERTNG ENZYME,$81.24,,,
ANGIOVAC CIRCUIT,"$2,250.00",,,
ANGSCULPT OTW PTA 5X200MMX137C,$625.00,,,
ANKLE ARTHROGRAM BIL,"$1,898.55",,,
ANKLE ARTHROGRAM LT,"$1,265.70",,,
ANKLE ARTHROGRAM RT,"$1,265.70",,,
ANKLE ARTHROGRAPHY INJ BIL,$778.50,,,
ANKLE ARTHROGRAPHY INJ LT,$519.00,,,
ANKLE ARTHROGRAPHY INJ RT,$519.00,,,
ANKLE CONTROL ORTHO PRE OTS,$113.81,,,
ANORECTAL MANOMETRY,$636.57,,,
ANOSCOPY INJ AGENT FOR INCON,"$6,422.13",,,
ANOSCOPY W DILATION,"$2,596.98",,,
ANOSCOPY; W BLEED CONTROL,"$2,596.98",,,
ANOSCOPY; W BX SINGLE/MULTI,"$2,596.98",,,
ANOSCOPY; W REM FB,"$1,969.05",,,
ANOSCOPY;W REM SGL TUMOR-SNARE,"$1,969.05",,,
ANOSCPY W ABLATION OF T/P/LSNS,"$6,422.13",,,
ANOSCPY W REM MULTI TUMOR-H BX,"$6,422.13",,,
ANOSCPY W REM T/P/L - H BX/BIP,"$6,422.13",,,
ANSEL 6FR SHEATH,$229.67,,,
ANTIBODY ID PLATELET ANTIBODY,$452.59,,,
ANTIDEPRESSANT NOT SPECIFIED,$54.09,,,
ANTIDEPRESSANT TRICYCLIC 1/2,$54.00,,,
ANTIDEPRESSANTS CLASS 1 OR 2,$54.00,,,
ANTIDEPRESSANTS CLASS 6/MORE,$71.00,,,
ANTIEPILEPTICS NOS 1-3,$54.00,,,
ANTIEPILEPTICS NOS 7/MORE,$71.00,,,
ANTINUCLEAR AB (ANA);,$129.17,,,
ANTINUCLEAR AB (ANA); TITER,$84.96,,,
ANTI-PHOSPHATIDYLSERINE AB,$88.43,,,
ANTIPSYCHOTICS NOS 1-3,$54.00,,,
ANTIPSYCHOTICS NOS 7/MORE,$71.00,,,
ANTI-STREP O SCREEN,$21.36,,,
ANTITHROMBIN III ACTIVITY ASSY,$67.20,,,
ANTITHROMBIN III ANTIGEN ASSAY,$146.75,,,
ANTITHROMBIN III INJ PER IU,$23.28,,,
APHERESIS PLASMA,"$3,912.69",,,
APHERESIS PLATELETS,"$3,912.69",,,
APHERESIS RBC,"$3,912.69",,,
APIXABAN 2.5 MG TAB,$44.18,,,
APIXABAN 5 MG TAB,$44.09,,,
APLIGRAF PER 1 SQ CM,"$5,100.00",,,
APOLIPOPROTEIN EACH,$85.59,,,
APP MULTLAY COMPRS LWR LEG BIL,$663.09,,,
APP MULTLAY COMPRS LWR LEG LT,$442.06,,,
APP MULTLAY COMPRS LWR LEG RT,$442.06,,,
APP RIGID CNTCT LEG CST BIL,"$1,067.76",,,
APP RIGID CNTCT LEG CST LT,$711.84,,,
APP RIGID CNTCT LEG CST RT,$711.84,,,
APP SHORT ARM SPLINT DYNAM BIL,$695.42,,,
APP SHORT ARM SPLINT DYNAM LT,$695.42,,,
APP SHORT ARM SPLINT DYNAM RT,$695.42,,,
