BarCdmID|Name|GlGdp|HCPCS|CPT|Subcategory|StandardAmount|StandardEffectiveDateID|Active|IPCount2022|IPAmount2022|OPCount2022|OPAmount2022|ChargeType|GlCorp|ReplaceCode1|ReplaceCode2|ReplaceCode3|ReplaceCode4|ReplaceCode5|RVU|HcpcsEffectiveDateTime|CptEffectiveDateTime|MasterCodeOnly|SubcategoryDescription|ClientDiscount|HcpcsMultiEffectiveDateTime|HcpcsMultiplier|Editable|StdProCompPercent|Facility_MisFacID|O/D|StatExpression|StatExpressionOverride|StatValue|Requirement|HCPCS_MCD|HcpcsMcdEffectiveDateTime|HCPCS_MCR|HcpcsMcrEffectiveDateTime|CPTMod|HCPCSMod
3008895708|MICROSCOPIC CRYSTAL EXAM|70200||89060|0300|34.13|2022-01-01 00:00:00.000|Y|0|0.00|2|68.26|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008897837|HSV BY PCR|70200||87529|0300|167.30|2022-01-01 00:00:00.000|Y|0|0.00|2|334.60|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008898256|HEPATITIS PANEL ACUTE|70200||80074|0300|217.00|2022-01-01 00:00:00.000|Y|9|1953.00|180|39060.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|4||NULL|NULL|NULL|NULL|NULL|NULL
3008899015|BRUCELLA ANTIBODY|70200||86622|0300|42.60|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3008899080|BASIC METABOLIC W TOTAL CA|70200||80048|0300|34.97|2022-01-01 00:00:00.000|Y|1432|50077.04|4970|167638.79|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|8||NULL|NULL|NULL|NULL|NULL|NULL
3008899254|INF AGENT-AMP NUCLEIC ACID PRO|70200||87798|0300|65.00|2022-01-01 00:00:00.000|Y|0|0.00|1|65.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3018023501|DRUG ASSAY LACOSAMIDE|70200||80235|0301|94.89|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2020-01-01 00:00:00.000|N|Chemistry Tests|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
30901ALL|CONTROL OF NOSEBLEED|69810||30901|0510|141.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Office Visit|12||||||NULL|NULL|2021-01-01 00:00:00.000|N|Clinic|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
30901ENT|CONTROL OF NOSEBLEED|69800||30901|0510|141.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Office Visit|12||||||NULL|NULL|2014-01-01 00:00:00.000|N|Clinic|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3107772571|MRI BREAST C-+ W/CAD BI|72800||77049|0614|1254.94|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2019-01-01 00:00:00.000|N|MRI/Other|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||C8908|2019-01-01 00:00:00.000|C8908|2019-01-01 00:00:00.000|NULL|NULL
3201777745|HDR BRACHYTX 2-12 CHANNEL  *||||0333|8267.70|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||3201777729||||NULL|NULL|NULL|Y|Rad-Radiation|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3202776172|DEXA BONE DENSITY AXIAL CEDC|72500||77080|0320|507.74|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3207361001|ANKLE BILAT|72100||73610|0320|614.80|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2020-01-01 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|50|NULL
3207711302|STERNOCLAVICULAR JOINT|72100||71130|0320|307.40|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3207742406|UPPER GI|72100||74240|0320|455.80|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|TC|NULL
3207742752|BARIUM ENEMA AIR CONTRAST|72100||74280|0320|705.96|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|TC|NULL
3207780448|CERVICAL SPINE W/ FLEX/EXT|72100||72052|0320|528.94|2022-01-01 00:00:00.000|Y|0|0.00|15|7934.10|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3207784564|FLUOROGUIDE VEIN DEVICE|72100|||0320|348.74|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3207787351|X-RAY EXAM OF ANKLE 2 VIEWS LT|72100||73600|0320|237.44|2022-01-01 00:00:00.000|Y|1|237.44|10|2374.40|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|LT|NULL
3207787385|FLUOROGUIDE FOR SPINE INJECT|72100|||0320|488.66|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|Dx x-Ray|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3207787633|Cardiac MRI w/wo con w/ stres*||||0614|0.00|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|3207787394|3207787492||||NULL|NULL|NULL|Y|MRI/Other|NULL|NULL|NULL|NULL|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3207787856|CT LS W & WO CONTRAST|72700||72133|0350|2525.98|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-01 00:00:00.000|N|CT Scan|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|N|1||NULL|NULL|NULL|NULL|NULL|NULL
3252776629|CT LT LOWER EXT  W/O CONTRAS|72700||73700|0352|1329.24|2022-01-01 00:00:00.000|Y|11|14621.64|26|34560.24|Ancillary|12||||||NULL|NULL|2017-01-01 00:00:00.000|N|CT Scan/Body|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|LT|NULL
3404770011|GASTRIC BLEED F&S            *||||0340|1790.18|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|2504775305|3404778278||||NULL|NULL|NULL|Y|Nuclear Medicine|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3404770021|LIVER SPLEEN SCAN            *||||0340|1997.81|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|3404775022|3404778215||||NULL|NULL|NULL|Y|Nuclear Medicine|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3404770168|SENTINEL NODE W/IMAGING      *||||0341|2176.38|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|3404775221|3404775321||||NULL|NULL|NULL|Y|Nuc Med/Dx|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3404775337|BRAIN VASCULAR FLOW   *||||0341|0.00|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||3404775336|3404775155|||NULL|NULL|NULL|Y|Nuc Med/Dx|NULL|NULL|NULL|NULL|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3515776140|CT NECK W/O CONTRAST|72700||70490|0351|1329.24|2022-01-01 00:00:00.000|Y|0|0.00|7|9304.68|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Head|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3515776673|CTA HEAD W/CONTRAST|72700||70496|0351|2085.02|2022-01-01 00:00:00.000|Y|1|2085.02|32|66720.64|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Head|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3525774150|CT ABDOMEN W/O CONTRAST|72700||74150|0352|1329.24|2022-01-01 00:00:00.000|Y|0|0.00|9|11963.16|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Body|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|TC|NULL
3525776638|CT PELVIS W/WO CONTRAST|72700||72194|0352|2078.66|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Body|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3525776679|CTA ABDOMEN W/CONTRAST|72700||74175|0352|2085.02|2022-01-01 00:00:00.000|Y|0|0.00|2|4170.04|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Body|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|TC|NULL
3525776682|CTA ABDOMEN W/WO CONTRAST|72700||74175|0352|2085.02|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|CT Scan/Body|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|TC|NULL
3604395976|OR LEVEL 4 EACH 15 MINS|66000|||0360|5438.96|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|OR Services|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3604398635|OR LEVEL 6 EACH 15 MINS|66000|||0360|10233.80|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|OR Services|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3607786270|NG TUBE PLC W FLUORO|72050|||0360|537.37|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|OR Services|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
3607787260|AORTOGRAM|72050|||0369|1670.05|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|OR/Other|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
36416FAMCH|CAPILLARY BLOOD DRAW|69700||36416|0300|21.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2018-01-01 00:00:00.000|N|Lab|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3700000001|ANESTHESIA 1ST HR|72050|||0370|2480.09|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|Anesthesia|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
3702505172|ANESTHESIA  1/4 HOUR|73400|||0370|573.91|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|Anesthesia|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4002776189|DX MAMMO INCL CAD UNI  RT|72500|77065|77065|0401|567.00|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|2018-01-01 00:00:00.000|2017-01-01 00:00:00.000|N|Diag Mammography|Y|2018-01-01 00:00:00.000|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|RT|RT
4003776982|US TRANSVAGINAL|72600||76830|0402|753.67|2022-01-01 00:00:00.000|Y|0|0.00|45|33915.15|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Ultrasound|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4005776663|PET IM W/CT WHOLE BDY INITIAL|72900||78816|0404|6950.43|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|PET Scan|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|PI|NULL
41108ALL|BIOPSY OF FLOOR OF MOUTH|69810||41108|0510|238.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Office Visit|12||||||NULL|NULL|2021-01-01 00:00:00.000|N|Clinic|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4205055389|HOME INSTRUCTION - RT|73800||97535|0420|218.89|2022-01-01 00:00:00.000|Y|677|138981.33|11|2258.19|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Physical Therp|Y|NULL|NULL|N|NULL|GRE|D|VISITS|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
4305050042|EQUIP FABRIC/MEASUREMENT  OT|73800||97760|0430|206.23|2022-01-01 00:00:00.000|Y|3|580.23|35|6769.35|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Occupational Ther|Y|NULL|NULL|N|NULL|GRE|D|VISITS|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
4305055264|INFRARED THERAPY (UNTIMED)-OT|73800||97026|0430|45.24|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Occupational Ther|Y|NULL|NULL|N|NULL|GRE|D|VISITS|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
4501592145|Declot Vascular Access - TPA|68000||36593|0450|1069.28|2022-01-01 00:00:00.000|Y|0|0.00|4|4277.12|Ancillary|12||||||NULL|NULL|2018-01-01 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596318|DEBRIDE TISSUE/MUSCLE/BONE|68000||11044|0450|2928.74|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596407|CL TX RADIAL HD/NECK FX W MAN|68000||24655|0450|1667.52|2022-01-01 00:00:00.000|Y|0|0.00|1|1563.89|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596495|DIAGNOSTIC ANASCOPY|68000||46600|0450|188.55|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596512|DRAGE EXT AUDIOTRY CANL ABS|68000||69020|0450|2465.11|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2020-01-01 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596578|SIMP REP F/E/N/L/MM 2.5CM/<|68000||12011|0450|760.43|2022-01-01 00:00:00.000|Y|0|0.00|20|14263.40|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596627|WEDGING OF CLUBFOOT CAST|68000||29750|0450|980.44|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596643|RX CL ELBOW DISLOC WO ANESTH|68000||24600|0450|667.57|2022-01-01 00:00:00.000|Y|0|0.00|1|626.08|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596687|TX KNUCKLE DISLOCATNO ANES|68000||26700|0450|719.61|2022-01-01 00:00:00.000|Y|0|0.00|1|674.89|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501596730|PATELLAR DISLOCATION CLOSED|68000||27560|0450|733.21|2022-01-01 00:00:00.000|Y|0|0.00|1|687.64|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501597752|CL TX MC FX SGL; W MANIP|68000||26605|0450|719.61|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Emerg Room|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4501953547|ED US other limited |68000||76999|0402|429.36|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2017-01-01 00:00:00.000|N|Ultrasound|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4603152279|PULM FUNCTION TEST BY GAS|71000||94727|0460|604.21|2022-01-01 00:00:00.000|Y|0|0.00|1|566.66|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Pulmonary Func|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
46600WOODL|DIAGNOSTIC ANOSCOPY|69700||46600|0517|66.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Office Visit|12||||||NULL|NULL|2020-01-01 00:00:00.000|N|Family Clinic|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|PN|NULL
46916DERM|DSTRJ LSN ANUS SIMP CRYOS|69230||46916|0510|375.00|2021-01-01 00:00:00.000|Y|0|0.00|0|0.00|Office Visit|12||||||NULL|NULL|2021-01-01 00:00:00.000|N|Clinic|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4801001132|CARDIOPULMONARY RESUSCITATION|61100||92950|0480|1345.88|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-14 00:00:00.000|N|Cardiology|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4802500214|INTRAVENTRICULAR PACING*|||93612|0481|7603.08|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|4802501177|||||NULL|NULL|2015-01-14 00:00:00.000|Y|Cardiac Cath Lab|Y|NULL|NULL|N|NULL|GRE|NULL|NULL|NULL|NULL||NULL|NULL|NULL|NULL|NULL|NULL
4802500533|PTCA, SINGLE VESSEL|73300|||0481|16390.86|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|NULL|N|Cardiac Cath Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
4802500657|INTRO CATH, EXTREMITY ART *|||36140|0481|1043.29|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12|4802500949|||||NULL|NULL|2015-01-14 00:00:00.000|Y|Cardiac Cath Lab|Y|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
4802500848|INS/REPL SNGL PM W/VENT LEA|73400||33207|0481|18165.61|2022-01-01 00:00:00.000|Y|0|0.00|0|0.00|Ancillary|12||||||NULL|NULL|2015-01-01 00:00:00.000|N|Cardiac Cath Lab|N|NULL|NULL|N|NULL|GRE|D|PROCEDURE|NULL|1||NULL|NULL|NULL|NULL|NULL|NULL
